BENCH: mobilenet_v2
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, ga-300 exec, ga-300 tuning, ga-300 trials, exec speedup, tuning speedup
0, 0.00009408, 50.50, 43, 0.00013788, 177.98, 100, 0.68, 0.28
1, 0.00001353, 11.83, 12, 0.00003260, 143.26, 100, 0.42, 0.08
2, 0.00018233, 46.93, 45, 0.00035143, 172.39, 100, 0.52, 0.27
3, 0.00006788, 55.36, 43, 0.00044441, 146.23, 100, 0.15, 0.38
4, 0.00002508, 75.27, 39, 0.00012485, 205.16, 100, 0.20, 0.37
5, 0.00000371, 0.97, 2, 0.00000376, 3.87, 4, 0.99, 0.25
6, 0.00025531, 70.11, 45, 0.00250673, 207.30, 100, 0.10, 0.34
7, 0.00006965, 12.32, 12, 0.00010296, 233.39, 100, 0.68, 0.05
8, 0.00005793, 41.76, 43, 0.00006903, 151.02, 100, 0.84, 0.28
9, 0.00009659, 54.18, 45, 0.00128528, 138.66, 100, 0.08, 0.39
10, 0.00002934, 18.87, 16, 0.00008531, 211.80, 100, 0.34, 0.09
11, 0.00008653, 55.62, 48, 0.00035434, 121.10, 100, 0.24, 0.46
12, 0.00001041, 10.29, 11, 0.00001548, 197.52, 100, 0.67, 0.05
13, 0.00006375, 44.06, 45, 0.00009390, 128.51, 100, 0.68, 0.34
14, 0.00003433, 17.42, 16, 0.00025584, 258.85, 100, 0.13, 0.07
15, 0.00007082, 38.24, 36, 0.00014408, 131.99, 100, 0.49, 0.29
16, 0.00009804, 67.59, 43, 0.00013674, 147.41, 100, 0.72, 0.46
17, 0.00007363, 34.97, 35, 0.00042709, 144.28, 100, 0.17, 0.24
18, 0.00015932, 30.32, 30, 0.00038030, 111.26, 100, 0.42, 0.27
19, 0.00001667, 12.54, 13, 0.00011800, 129.48, 100, 0.14, 0.10
20, 0.00002579, 64.51, 47, 0.00004161, 140.47, 100, 0.62, 0.46
21, 0.00001145, 52.22, 54, 0.00001160, 99.74, 100, 0.99, 0.52
22, 0.00013358, 37.69, 31, 0.00022477, 145.26, 100, 0.59, 0.26
23, 0.00031411, 21.46, 21, 0.00217613, 422.51, 100, 0.14, 0.05
24, 0.00006411, 42.40, 43, 0.00023123, 145.55, 100, 0.28, 0.29
25, 0.00002171, 11.21, 11, 0.00010490, 226.80, 100, 0.21, 0.05
26, 0.00009663, 60.22, 43, 0.00019338, 154.37, 100, 0.50, 0.39
27, 0.00001243, 13.82, 14, 0.00010624, 225.91, 100, 0.12, 0.06
28, 0.00015231, 9.71, 10, 0.00150208, 322.67, 100, 0.10, 0.03
29, 0.00001292, 15.49, 15, 0.00002196, 196.50, 100, 0.59, 0.08
30, 0.00006336, 42.36, 43, 0.00010010, 143.65, 100, 0.63, 0.29
31, 0.00008130, 52.65, 43, 0.00024601, 164.29, 100, 0.33, 0.32
32, 0.00004910, 10.77, 11, 0.00048538, 257.47, 100, 0.10, 0.04
