BENCH: resnet101
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, ga-300 exec, ga-300 tuning, ga-300 trials, exec speedup, tuning speedup
0, 0.00097709, 64.57, 38, 0.00255331, 233.17, 100, 0.38, 0.28
1, 0.00110434, 111.45, 45, 0.00312110, 259.88, 100, 0.35, 0.43
2, 0.00040868, 62.99, 45, 0.00085231, 206.94, 100, 0.48, 0.30
3, 0.00096145, 29.42, 22, 0.00264145, 336.12, 100, 0.36, 0.09
4, 0.00050409, 77.19, 55, 0.00321930, 156.03, 100, 0.16, 0.49
5, 0.00112288, 52.61, 36, 0.01083017, 580.73, 100, 0.10, 0.09
6, 0.00048995, 107.28, 47, 0.00200234, 149.32, 100, 0.24, 0.72
7, 0.00004785, 136.05, 62, 9999.00000000, 228.98, 100, 0.00, 0.59
8, 0.00117258, 61.52, 44, 0.00580974, 281.36, 100, 0.20, 0.22
9, 0.00000454, 0.97, 2, 0.00000464, 3.83, 4, 0.98, 0.25
10, 0.00014527, 87.13, 59, 0.00115240, 158.40, 100, 0.13, 0.55
11, 0.00086448, 51.88, 45, 0.00159941, 157.83, 100, 0.54, 0.33
12, 0.00048513, 63.23, 45, 0.00112498, 290.77, 100, 0.43, 0.22
13, 0.00057661, 84.19, 47, 0.00078779, 184.87, 100, 0.73, 0.46
14, 0.00000734, 10.62, 12, 0.00000819, 38.56, 40, 0.90, 0.28
15, 0.00098663, 401.73, 39, 0.00516856, 353.15, 100, 0.19, 1.14
16, 0.00093912, 57.98, 47, 0.00086093, 174.24, 100, 1.09, 0.33
17, 0.00049688, 52.51, 44, 0.00158934, 146.74, 100, 0.31, 0.36
18, 0.00111425, 51.50, 44, 0.01570703, 279.16, 100, 0.07, 0.18
19, 0.00118624, 250.93, 39, 0.00871016, 208.86, 100, 0.14, 1.20
20, 0.00108939, 217.11, 36, 0.00783555, 371.09, 100, 0.14, 0.59
21, 0.00052074, 213.98, 56, 0.00386016, 236.79, 100, 0.13, 0.90
22, 0.00101443, 64.14, 53, 0.00148308, 155.83, 100, 0.68, 0.41
23, 0.00043270, 60.08, 56, 0.00466883, 150.56, 100, 0.09, 0.40
24, 0.00111982, 46.68, 43, 0.00949327, 189.12, 100, 0.12, 0.25
25, 0.00001848, 17.66, 19, 0.00001828, 79.28, 80, 1.01, 0.22
26, 0.00102711, 48.82, 43, 0.00966434, 214.52, 100, 0.11, 0.23
27, 0.00041244, 52.74, 52, 0.00174810, 119.59, 100, 0.24, 0.44
