BENCH: vgg19
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, ga-300 exec, ga-300 tuning, ga-300 trials, exec speedup, tuning speedup
0, 0.00000729, 1.02, 2, 0.00000734, 4.07, 4, 0.99, 0.25
1, 0.00090807, 29.02, 21, 0.01205097, 211.12, 100, 0.08, 0.14
2, 0.00000177, 0.96, 2, 0.00000175, 3.81, 4, 1.01, 0.25
3, 0.01593003, 80.18, 51, 0.10808433, 729.19, 100, 0.15, 0.11
4, 0.00007056, 127.53, 55, 9999.00000000, 240.07, 100, 0.00, 0.53
5, 0.00001431, 0.97, 2, 0.00004032, 4.80, 4, 0.35, 0.20
6, 0.01393583, 129.44, 44, 0.06140937, 398.02, 100, 0.23, 0.33
7, 0.00005277, 1.02, 2, 0.00010762, 5.93, 5, 0.49, 0.17
8, 0.00713405, 75.11, 53, 0.01660267, 566.96, 100, 0.43, 0.13
9, 0.00188486, 196.19, 34, 0.01018523, 258.36, 100, 0.19, 0.76
10, 0.00002745, 1.67, 2, 0.00003973, 3.92, 4, 0.69, 0.43
11, 0.00728946, 124.79, 32, 0.01014020, 447.03, 100, 0.72, 0.28
12, 0.01151000, 201.52, 55, 0.06184383, 373.51, 100, 0.19, 0.54
13, 0.01452583, 177.88, 36, 0.04685267, 745.52, 100, 0.31, 0.24
14, 0.00001067, 60.26, 63, 0.00000828, 98.22, 100, 1.29, 0.61
15, 0.00000416, 1.02, 2, 0.00000481, 4.08, 4, 0.87, 0.25
16, 0.00367380, 97.46, 35, 0.01565390, 722.98, 100, 0.23, 0.13
17, 0.01337583, 97.12, 44, 0.02042090, 465.47, 100, 0.66, 0.21
18, 0.00718940, 63.61, 51, 0.07071520, 696.95, 100, 0.10, 0.09
