BENCH: vgg16
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, ga-300 exec, ga-300 tuning, ga-300 trials, exec speedup, tuning speedup
0, 0.00000743, 1.03, 2, 0.00000773, 4.12, 4, 0.96, 0.25
1, 0.00070372, 26.02, 21, 0.00122500, 148.03, 100, 0.57, 0.18
2, 0.00000175, 0.97, 2, 0.00000175, 3.85, 4, 1.00, 0.25
3, 0.01449447, 223.02, 39, 0.05162187, 730.91, 100, 0.28, 0.31
4, 0.00009425, 96.60, 55, 9999.00000000, 213.25, 100, 0.00, 0.45
5, 0.00001327, 1.20, 2, 0.00003723, 4.80, 4, 0.36, 0.25
6, 0.01413493, 101.93, 44, 0.02768277, 665.29, 100, 0.51, 0.15
7, 0.00005277, 1.18, 2, 0.00018462, 4.74, 4, 0.29, 0.25
8, 0.00718800, 134.87, 39, 0.02561487, 455.41, 100, 0.28, 0.30
9, 0.00162259, 115.02, 56, 0.01016667, 245.49, 100, 0.16, 0.47
10, 0.00002606, 0.97, 2, 0.00006927, 6.75, 4, 0.38, 0.14
11, 0.00650693, 63.03, 44, 0.01397057, 297.37, 100, 0.47, 0.21
12, 0.01143690, 142.44, 33, 0.06417740, 415.76, 100, 0.18, 0.34
13, 0.01505230, 68.27, 36, 0.02699980, 359.06, 100, 0.56, 0.19
14, 0.00001018, 78.24, 79, 0.00000774, 97.66, 100, 1.32, 0.80
15, 0.00000486, 1.00, 2, 0.00000559, 3.97, 4, 0.87, 0.25
16, 0.00363694, 60.13, 35, 0.02098687, 311.54, 100, 0.17, 0.19
17, 0.01343600, 103.90, 44, 0.10408900, 941.84, 100, 0.13, 0.11
18, 0.00721724, 157.63, 39, 0.01465067, 264.83, 100, 0.49, 0.60
