BENCH: densenet201
layer, ga-300 exec, ga-300 tuning, ga-300 trials
0, 0.00355953, 114.88, 100
1, 0.00016070, 133.29, 100
2, 0.00046063, 140.41, 100
3, 0.00042598, 161.52, 100
4, 0.00163147, 150.26, 100
5, 0.00016662, 155.23, 100
6, 0.00231888, 174.76, 100
7, 0.00134858, 121.32, 100
8, 0.00000519, 3.76, 4
9, 0.00144689, 157.14, 100
10, 0.00031356, 128.16, 100
11, 0.00144208, 179.89, 100
12, 0.00804234, 161.76, 100
13, 0.00043433, 160.97, 100
14, 0.00044603, 239.66, 100
15, 0.00039632, 158.23, 100
16, 0.00060705, 169.58, 100
17, 9999.00000000, 246.60, 100
18, 0.00184704, 214.12, 100
19, 0.00597951, 374.04, 100
20, 0.00012633, 111.56, 100
21, 0.00045582, 133.39, 100
22, 0.00025566, 133.02, 100
23, 0.00074638, 149.87, 100
24, 0.00000486, 3.83, 4
25, 0.00042544, 144.80, 100
26, 0.00031017, 134.12, 100
27, 0.00105490, 216.98, 100
28, 0.00078773, 166.23, 100
29, 0.00252908, 182.34, 100
30, 0.00010776, 156.00, 100
31, 0.00024770, 176.51, 100
32, 0.00012456, 223.21, 100
33, 0.00088525, 122.43, 100
34, 0.00162086, 157.74, 100
35, 0.00131411, 179.65, 100
36, 0.00016138, 160.61, 100
37, 0.00254716, 302.30, 100
38, 0.00266830, 136.99, 100
39, 0.00030426, 128.75, 100
40, 0.00089607, 196.67, 100
41, 0.00031754, 178.15, 100
42, 0.00000571, 3.88, 4
43, 0.00059710, 162.38, 100
44, 0.00027235, 189.32, 100
45, 0.00072898, 206.61, 100
46, 0.00022485, 209.39, 100
47, 0.00051144, 179.27, 100
48, 0.00001260, 97.52, 100
49, 0.00054133, 154.52, 100
50, 0.00248864, 178.82, 100
51, 0.00064025, 169.99, 100
52, 0.00030751, 165.27, 100
53, 0.00068996, 118.61, 100
54, 0.00014846, 165.94, 100
55, 0.00019825, 103.71, 100
56, 0.00052311, 168.08, 100
57, 0.00127291, 121.88, 100
58, 0.00046291, 133.59, 100
59, 0.00095086, 137.80, 100
60, 0.00076778, 148.33, 100
61, 0.00059343, 187.92, 100
62, 0.00149194, 116.67, 100
63, 0.01361683, 248.24, 100
64, 0.00093596, 255.91, 100
65, 0.00042075, 180.45, 100
66, 0.00016186, 183.90, 100
67, 0.00129991, 144.21, 100
68, 0.00018191, 134.24, 100
69, 0.00090152, 201.90, 100
70, 0.00179499, 115.36, 100
71, 0.00090576, 139.48, 100
72, 0.00069754, 113.97, 100
73, 0.00030165, 142.03, 100
74, 0.00149622, 159.37, 100
75, 0.00634460, 145.79, 100
76, 0.00000700, 3.85, 4
77, 0.00036967, 252.50, 100
78, 0.00078932, 138.70, 100
79, 0.00324185, 190.30, 100
80, 0.00033800, 185.62, 100
81, 0.00048689, 138.98, 100
82, 0.00022373, 111.00, 100
83, 0.00220060, 270.57, 100
84, 0.00092367, 160.99, 100
85, 0.00059822, 128.38, 100
86, 0.00014995, 153.78, 100
87, 0.00054628, 144.51, 100
88, 0.00008633, 202.17, 100
89, 0.00174495, 117.79, 100
90, 0.00026463, 119.67, 100
91, 0.00082159, 180.49, 100
92, 0.00105764, 150.63, 100
93, 0.00927561, 149.06, 100
94, 0.00017894, 174.87, 100
95, 0.00367591, 195.37, 100
96, 0.00017369, 129.09, 100
97, 0.00064665, 148.81, 100
98, 0.00001853, 20.06, 20
99, 0.00184263, 215.78, 100
100, 0.00040545, 172.39, 100
101, 0.00220914, 155.15, 100
102, 0.00024654, 142.12, 100
103, 0.00026817, 151.13, 100
104, 0.00258629, 165.45, 100
105, 0.00250393, 152.90, 100
106, 0.00026339, 197.60, 100
107, 0.00025989, 174.38, 100
108, 0.00043635, 123.05, 100
109, 0.00133234, 128.25, 100
110, 0.00025251, 135.46, 100
111, 0.00002789, 166.03, 100
112, 0.00148129, 148.86, 100
