Sun Dec 17 00:54:49 EST 2023
workergpu064
Greetings from !
Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
66, 0.00000515, 18.27, 457.62, 11, 0.00000515, 439.35, 60, 0.00000515, 439.35, 60, 1.00, 1.00, 0.96, 0.96
67, 0.00002834, 19.71, 751.96, 11, 0.00002834, 732.25, 100, 0.00002834, 937.28, 128, 1.00, 1.00, 0.97, 1.25
68, 0.00001122, 34.51, 766.76, 32, 0.00001257, 732.25, 100, 0.00001257, 937.28, 128, 1.12, 1.12, 0.95, 1.22
69, 0.00001877, 23.87, 492.50, 11, 0.00001877, 468.64, 64, 0.00001877, 468.64, 64, 1.00, 1.00, 0.95, 0.95
70, 0.00001361, 33.67, 502.31, 22, 0.00001396, 468.64, 64, 0.00001396, 468.64, 64, 1.03, 1.03, 0.93, 0.93
71, 0.00001675, 19.03, 751.28, 13, 0.00001675, 732.25, 100, 0.00001531, 937.28, 128, 1.00, 0.91, 0.97, 1.25
72, 0.00001309, 22.10, 754.35, 11, 0.00001309, 732.25, 100, 0.00001309, 937.28, 128, 1.00, 1.00, 0.97, 1.24
Top 200
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-200 (s), tuning time Ansor-200, task Ansor-200, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-200, speedup 10k, speed tuning time top-200, speed tuning time 10k
0, 0.00002196, 25.54, 962.82, 11, 0.00002196, 937.28, 128, 0.00002196, 937.28, 128, 1.00, 1.00, 0.97, 0.97
1, 0.00003580, 9.82, 947.09, 4, 0.00001808, 937.28, 128, 0.00001808, 937.28, 128, 0.51, 0.51, 0.99, 0.99
2, 0.00001252, 19.42, 488.05, 13, 0.00001252, 468.64, 64, 0.00001252, 468.64, 64, 1.00, 1.00, 0.96, 0.96
3, 0.00003649, 19.15, 1483.65, 11, 0.00003649, 1464.50, 200, 0.00003143, 5155.03, 704, 1.00, 0.86, 0.99, 3.47
4, 0.00001300, 29.83, 967.11, 15, 0.00001300, 937.28, 128, 0.00001300, 937.28, 128, 1.00, 1.00, 0.97, 0.97
5, 0.00004387, 32.76, 1438.67, 16, 0.00004387, 1405.92, 192, 0.00004387, 1405.92, 192, 1.00, 1.00, 0.98, 0.98
6, 0.00001370, 35.79, 973.07, 20, 0.00001370, 937.28, 128, 0.00001370, 937.28, 128, 1.00, 1.00, 0.96, 0.96
7, 0.00000570, 18.70, 487.34, 12, 0.00000570, 468.64, 64, 0.00000570, 468.64, 64, 1.00, 1.00, 0.96, 0.96
8, 0.00001578, 23.55, 960.83, 15, 0.00001578, 937.28, 128, 0.00001578, 937.28, 128, 1.00, 1.00, 0.98, 0.98
9, 0.00002181, 23.79, 961.07, 11, 0.00002181, 937.28, 128, 0.00002181, 937.28, 128, 1.00, 1.00, 0.98, 0.98
10, 0.00002580, 25.72, 963.00, 15, 0.00002580, 937.28, 128, 0.00002580, 937.28, 128, 1.00, 1.00, 0.97, 0.97
11, 0.00001399, 33.74, 502.38, 27, 0.00001434, 468.64, 64, 0.00001434, 468.64, 64, 1.02, 1.02, 0.93, 0.93
12, 0.00000945, 27.31, 964.59, 15, 0.00000945, 937.28, 128, 0.00000945, 937.28, 128, 1.00, 1.00, 0.97, 0.97
13, 0.00001524, 30.35, 498.99, 19, 0.00001853, 468.64, 64, 0.00001853, 468.64, 64, 1.22, 1.22, 0.94, 0.94
14, 0.00001570, 16.86, 954.14, 13, 0.00001570, 937.28, 128, 0.00001570, 937.28, 128, 1.00, 1.00, 0.98, 0.98
15, 0.00001515, 22.64, 959.92, 12, 0.00001515, 937.28, 128, 0.00001515, 937.28, 128, 1.00, 1.00, 0.98, 0.98
16, 0.00003612, 19.26, 956.54, 11, 0.00003612, 937.28, 128, 0.00003612, 937.28, 128, 1.00, 1.00, 0.98, 0.98
17, 0.00001364, 25.77, 494.41, 16, 0.00001364, 468.64, 64, 0.00001364, 468.64, 64, 1.00, 1.00, 0.95, 0.95
