Thu Jan 25 07:39:43 EST 2024
workergpu049
Greetings from !
Top 300 resnet34
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-300 (s), std Ansor-300, tuning time Ansor-300, task Ansor-300, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-300, speedup 10k, speed tuning time top-300, speed tuning time 10k, p-value
0, 0.00000711, 0.00000012, 34.20, 498.27, 24, 0.00000726, 0.00000000, 464.07, 64, 0.00000726, 0.00000000, 464.07, 64, 1.02, 1.02, 0.93, 0.93, 0.1728
1, 0.00005289, 0.00000000, 25.77, 2201.10, 13, 0.00005289, 0.00000000, 2175.33, 300, 0.00004700, 0.00000000, 11601.77, 1600, 1.00, 0.89, 0.99, 5.27, 0.0000
2, 0.00002548, 0.00000001, 24.57, 2199.90, 11, 0.00002548, 0.00000001, 2175.33, 300, 0.00002473, 0.00000001, 3712.57, 512, 1.00, 0.97, 0.99, 1.69, 0.0000
3, 0.00001175, 0.00000000, 29.00, 1421.21, 25, 0.00001196, 0.00000000, 1392.21, 192, 0.00001196, 0.00000000, 1392.21, 192, 1.02, 1.02, 0.98, 0.98, 0.0000
4, 0.00000530, 0.00000000, 21.05, 485.12, 13, 0.00000530, 0.00000000, 464.07, 64, 0.00000530, 0.00000000, 464.07, 64, 1.00, 1.00, 0.96, 0.96, 1.0000
5, 0.00002418, 0.00000001, 22.55, 2197.88, 11, 0.00002418, 0.00000001, 2175.33, 300, 0.00002380, 0.00000002, 3248.50, 448, 1.00, 0.98, 0.99, 1.48, 0.0000
6, 0.00006673, 0.00000000, 35.60, 2210.93, 11, 0.00006673, 0.00000000, 2175.33, 300, 0.00006627, 0.00000000, 8817.35, 1216, 1.00, 0.99, 0.98, 3.99, 0.0000
7, 0.00003442, 0.00000000, 31.31, 1887.59, 11, 0.00003442, 0.00000000, 1856.28, 256, 0.00003442, 0.00000000, 1856.28, 256, 1.00, 1.00, 0.98, 0.98, 1.0000
8, 0.00004204, 0.00000021, 46.88, 2222.22, 23, 0.00004273, 0.00000000, 2175.33, 300, 0.00003665, 0.00000000, 6496.99, 896, 1.02, 0.87, 0.98, 2.92, 0.0000
9, 0.00006891, 0.00000000, 36.27, 2211.60, 11, 0.00006891, 0.00000000, 2175.33, 300, 0.00006891, 0.00000000, 6496.99, 896, 1.00, 1.00, 0.98, 2.94, 1.0000
