Mon Dec 18 14:48:00 EST 2023
workergpu061
Greetings from !
Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
25, 0.00003814, 24.38, 510.73, 15, 0.00003814, 486.35, 64, 0.00003814, 486.35, 64, 1.00, 1.00, 0.95, 0.95
26, 0.00002176, 20.67, 507.02, 21, 0.00002180, 486.35, 64, 0.00002180, 486.35, 64, 1.00, 1.00, 0.96, 0.96
27, 0.00001356, 20.45, 506.80, 11, 0.00001356, 486.35, 64, 0.00001356, 486.35, 64, 1.00, 1.00, 0.96, 0.96
28, 0.00002438, 40.74, 527.09, 24, 0.00002811, 486.35, 64, 0.00002811, 486.35, 64, 1.15, 1.15, 0.92, 0.92
29, 0.00002341, 97.39, 583.74, 69, 0.00003921, 486.35, 64, 0.00003921, 486.35, 64, 1.67, 1.67, 0.83, 0.83
30, 0.00002744, 26.38, 786.30, 11, 0.00002744, 759.93, 100, 0.00002744, 972.71, 128, 1.00, 1.00, 0.97, 1.24
31, 0.00002721, 27.91, 514.26, 21, 0.00002844, 486.35, 64, 0.00002844, 486.35, 64, 1.05, 1.05, 0.95, 0.95
32, 0.00003693, 52.59, 538.95, 43, 0.00004209, 486.35, 64, 0.00004209, 486.35, 64, 1.14, 1.14, 0.90, 0.90
33, 0.00001940, 39.25, 525.60, 25, 0.00002157, 486.35, 64, 0.00002157, 486.35, 64, 1.11, 1.11, 0.93, 0.93
34, 0.00003493, 20.52, 506.87, 11, 0.00003493, 486.35, 64, 0.00003493, 486.35, 64, 1.00, 1.00, 0.96, 0.96
35, 0.00003102, 38.29, 524.64, 30, 0.00003104, 486.35, 64, 0.00003104, 486.35, 64, 1.00, 1.00, 0.93, 0.93
36, 0.00003331, 25.14, 785.06, 11, 0.00003331, 759.93, 100, 0.00003331, 972.71, 128, 1.00, 1.00, 0.97, 1.24
37, 0.00002549, 47.56, 533.91, 30, 0.00002871, 486.35, 64, 0.00002871, 486.35, 64, 1.13, 1.13, 0.91, 0.91
38, 0.00001605, 21.07, 507.42, 11, 0.00001605, 486.35, 64, 0.00001605, 486.35, 64, 1.00, 1.00, 0.96, 0.96
39, 0.00002488, 30.51, 790.44, 15, 0.00002488, 759.93, 100, 0.00002488, 972.71, 128, 1.00, 1.00, 0.96, 1.23
40, 0.00004652, 24.39, 510.74, 15, 0.00004652, 486.35, 64, 0.00004652, 486.35, 64, 1.00, 1.00, 0.95, 0.95
41, 0.00003527, 26.23, 512.58, 15, 0.00003527, 486.35, 64, 0.00003527, 486.35, 64, 1.00, 1.00, 0.95, 0.95
42, 0.00001726, 26.34, 512.69, 13, 0.00001726, 486.35, 64, 0.00001726, 486.35, 64, 1.00, 1.00, 0.95, 0.95
43, 0.00000646, 19.54, 505.89, 12, 0.00000646, 486.35, 64, 0.00000646, 486.35, 64, 1.00, 1.00, 0.96, 0.96
44, 0.00001455, 48.38, 534.73, 38, 0.00001846, 486.35, 64, 0.00001846, 486.35, 64, 1.27, 1.27, 0.91, 0.91
45, 0.00003894, 31.45, 517.80, 15, 0.00003894, 486.35, 64, 0.00003894, 486.35, 64, 1.00, 1.00, 0.94, 0.94
46, 0.00003079, 34.61, 520.96, 22, 0.00003277, 486.35, 64, 0.00003277, 486.35, 64, 1.06, 1.06, 0.93, 0.93
47, 0.00002511, 46.69, 533.05, 43, 0.00003031, 486.35, 64, 0.00003031, 486.35, 64, 1.21, 1.21, 0.91, 0.91
48, 0.00003453, 31.56, 517.92, 22, 0.00004142, 486.35, 64, 0.00004142, 486.35, 64, 1.20, 1.20, 0.94, 0.94
49, 0.00001018, 25.26, 511.61, 15, 0.00001018, 486.35, 64, 0.00001018, 486.35, 64, 1.00, 1.00, 0.95, 0.95
50, 0.00000481, 21.40, 507.76, 13, 0.00000481, 486.35, 64, 0.00000481, 486.35, 64, 1.00, 1.00, 0.96, 0.96
51, 0.00003832, 43.85, 530.20, 36, 0.00004346, 486.35, 64, 0.00004346, 486.35, 64, 1.13, 1.13, 0.92, 0.92
52, 0.00003446, 86.13, 572.49, 12, 0.00003446, 486.35, 64, 0.00003446, 486.35, 64, 1.00, 1.00, 0.85, 0.85
53, 0.00001860, 39.22, 525.57, 21, 0.00002060, 486.35, 64, 0.00002060, 486.35, 64, 1.11, 1.11, 0.93, 0.93
54, 0.00001806, 22.62, 782.55, 11, 0.00001806, 759.93, 100, 0.00001757, 972.71, 128, 1.00, 0.97, 0.97, 1.24
