Thu Jan 25 11:00:54 EST 2024
workergpu039
Greetings from !
Top 300 resnet34
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-300 (s), std Ansor-300, tuning time Ansor-300, task Ansor-300, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-300, speedup 10k, speed tuning time top-300, speed tuning time 10k, p-value
13, 0.00002939, 0.00000040, 49.65, 2224.98, 22, 0.00002942, 0.00000001, 2175.33, 300, 0.00002942, 0.00000001, 4176.64, 576, 1.00, 1.00, 0.98, 1.88, 0.94195253
14, 0.00000733, 0.00000000, 33.45, 961.60, 15, 0.00000733, 0.00000000, 928.14, 128, 0.00000733, 0.00000000, 928.14, 128, 1.00, 1.00, 0.97, 0.97, 1.00000000
15, 0.00004666, 0.00000000, 22.53, 2197.86, 11, 0.00004666, 0.00000000, 2175.33, 300, 0.00004666, 0.00000000, 2784.43, 384, 1.00, 1.00, 0.99, 1.27, 1.00000000
16, 0.00002631, 0.00000000, 30.56, 1422.77, 11, 0.00002631, 0.00000000, 1392.21, 192, 0.00002631, 0.00000000, 1392.21, 192, 1.00, 1.00, 0.98, 0.98, 1.00000000
17, 0.00000509, 0.00000000, 18.28, 453.35, 11, 0.00000509, 0.00000000, 435.07, 60, 0.00000509, 0.00000000, 435.07, 60, 1.00, 1.00, 0.96, 0.96, 1.00000000
18, 0.00006577, 0.00000000, 23.04, 2198.37, 11, 0.00006577, 0.00000000, 2175.33, 300, 0.00005777, 0.00000000, 15778.41, 2176, 1.00, 0.88, 0.99, 7.18, 0.00000000
Top 300 alexnet
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-300 (s), std Ansor-300, tuning time Ansor-300, task Ansor-300, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-300, speedup 10k, speed tuning time top-300, speed tuning time 10k, p-value
0, 0.00004373, 0.00000000, 21.19, 2113.70, 10, 0.00004373, 0.00000000, 2092.51, 300, 0.00004144, 0.00000001, 5356.84, 768, 1.00, 0.95, 0.99, 2.53, 0.00000000
1, 0.00000269, 0.00000000, 17.48, 463.88, 11, 0.00000269, 0.00000000, 446.40, 64, 0.00000269, 0.00000000, 446.40, 64, 1.00, 1.00, 0.96, 0.96, 1.00000000
