Sun Dec 17 16:59:36 EST 2023
workergpu041
Greetings from !
Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-300 (s), tuning time Ansor-300, task Ansor-300, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-300, speedup 10k, speed tuning time top-300, speed tuning time 10k
0, 0.00029186, 68.38, 1988.27, 33, 0.00029637, 1919.89, 300, 0.00026582, 6553.21, 1024, 1.02, 0.91, 0.97, 3.30
1, 0.00025744, 118.69, 2038.58, 37, 0.00026142, 1919.89, 300, 0.00025978, 6553.21, 1024, 1.02, 1.01, 0.94, 3.21
2, 0.00003353, 28.60, 847.76, 11, 0.00003353, 819.15, 128, 0.00003353, 819.15, 128, 1.00, 1.00, 0.97, 0.97
3, 0.00000503, 18.44, 402.42, 11, 0.00000503, 383.98, 60, 0.00000503, 383.98, 60, 1.00, 1.00, 0.95, 0.95
4, 0.00016069, 42.42, 1962.31, 15, 0.00016069, 1919.89, 300, 0.00013388, 6962.79, 1088, 1.00, 0.83, 0.98, 3.55
5, 0.00016424, 50.25, 1970.14, 22, 0.00016768, 1919.89, 300, 0.00016384, 4095.76, 640, 1.02, 1.00, 0.97, 2.08
6, 0.00010215, 22.87, 1942.76, 13, 0.00010215, 1919.89, 300, 0.00010215, 2867.03, 448, 1.00, 1.00, 0.99, 1.48
7, 0.00000736, 7.52, 391.50, 2, 0.00000736, 383.98, 60, 0.00000736, 383.98, 60, 1.00, 1.00, 0.98, 0.98
8, 0.00002408, 41.82, 860.97, 24, 0.00002438, 819.15, 128, 0.00002438, 819.15, 128, 1.01, 1.01, 0.95, 0.95
9, 0.00043060, 83.56, 2003.45, 26, 0.00043167, 1919.89, 300, 0.00038721, 9420.24, 1472, 1.00, 0.90, 0.96, 4.70
10, 0.00035019, 38.60, 1958.49, 23, 0.00035570, 1919.89, 300, 0.00034199, 8601.09, 1344, 1.02, 0.98, 0.98, 4.39
11, 0.00000519, 22.60, 432.17, 14, 0.00000519, 409.58, 64, 0.00000519, 409.58, 64, 1.00, 1.00, 0.95, 0.95
12, 0.00000289, 7.15, 391.13, 2, 0.00000289, 383.98, 60, 0.00000289, 383.98, 60, 1.00, 1.00, 0.98, 0.98
13, 0.00026030, 53.84, 1973.72, 28, 0.00026435, 1919.89, 300, 0.00026313, 6553.21, 1024, 1.02, 1.01, 0.97, 3.32
14, 0.00000561, 27.10, 436.68, 19, 0.00000570, 409.58, 64, 0.00000570, 409.58, 64, 1.01, 1.01, 0.94, 0.94
15, 0.00017052, 57.51, 1977.40, 29, 0.00017510, 1919.89, 300, 0.00017495, 4505.33, 704, 1.03, 1.03, 0.97, 2.28
16, 0.00013165, 38.49, 1958.38, 12, 0.00013569, 1919.89, 300, 0.00013262, 3686.18, 576, 1.03, 1.01, 0.98, 1.88
17, 0.00000387, 17.22, 401.19, 11, 0.00000387, 383.98, 60, 0.00000387, 383.98, 60, 1.00, 1.00, 0.96, 0.96
18, 0.00001197, 19.23, 403.21, 11, 0.00001197, 383.98, 60, 0.00001197, 383.98, 60, 1.00, 1.00, 0.95, 0.95
Top 1000
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1000 (s), tuning time Ansor-1000, task Ansor-1000, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1000, speedup 10k, speed tuning time top-1000, speed tuning time 10k
0, 0.00026163, 84.24, 6483.85, 36, 0.00026582, 6399.62, 1000, 0.00026582, 6553.21, 1024, 1.02, 1.02, 0.99, 1.01
1, 0.00025676, 56.84, 6456.45, 24, 0.00025978, 6399.62, 1000, 0.00025978, 6553.21, 1024, 1.01, 1.01, 0.99, 1.01
2, 0.00003353, 28.61, 847.76, 11, 0.00003353, 819.15, 128, 0.00003353, 819.15, 128, 1.00, 1.00, 0.97, 0.97
3, 0.00000503, 18.12, 402.09, 11, 0.00000503, 383.98, 60, 0.00000503, 383.98, 60, 1.00, 1.00, 0.95, 0.95
4, 0.00013485, 52.07, 6451.69, 15, 0.00013485, 6399.62, 1000, 0.00013388, 6962.79, 1088, 1.00, 0.99, 0.99, 1.08
5, 0.00016384, 33.49, 4129.25, 11, 0.00016384, 4095.76, 640, 0.00016384, 4095.76, 640, 1.00, 1.00, 0.99, 0.99
6, 0.00010215, 22.88, 2889.91, 13, 0.00010215, 2867.03, 448, 0.00010215, 2867.03, 448, 1.00, 1.00, 0.99, 0.99
7, 0.00000736, 7.52, 391.49, 2, 0.00000736, 383.98, 60, 0.00000736, 383.98, 60, 1.00, 1.00, 0.98, 0.98
8, 0.00002410, 43.00, 862.15, 24, 0.00002438, 819.15, 128, 0.00002438, 819.15, 128, 1.01, 1.01, 0.95, 0.95
9, 0.00038238, 71.92, 6471.54, 21, 0.00038721, 6399.62, 1000, 0.00038721, 9420.24, 1472, 1.01, 1.01, 0.99, 1.46
10, 0.00034864, 44.45, 6444.07, 23, 0.00035347, 6399.62, 1000, 0.00034199, 8601.09, 1344, 1.01, 0.98, 0.99, 1.33
11, 0.00000519, 22.98, 432.56, 14, 0.00000519, 409.58, 64, 0.00000519, 409.58, 64, 1.00, 1.00, 0.95, 0.95
12, 0.00000289, 7.17, 391.15, 2, 0.00000289, 383.98, 60, 0.00000289, 383.98, 60, 1.00, 1.00, 0.98, 0.98
13, 0.00026128, 54.38, 6454.00, 28, 0.00026313, 6399.62, 1000, 0.00026313, 6553.21, 1024, 1.01, 1.01, 0.99, 1.02
14, 0.00000564, 32.04, 441.61, 23, 0.00000570, 409.58, 64, 0.00000570, 409.58, 64, 1.01, 1.01, 0.93, 0.93
15, 0.00017378, 58.06, 4563.39, 29, 0.00017495, 4505.33, 704, 0.00017495, 4505.33, 704, 1.01, 1.01, 0.99, 0.99
16, 0.00013047, 32.33, 3718.51, 12, 0.00013262, 3686.18, 576, 0.00013262, 3686.18, 576, 1.02, 1.02, 0.99, 0.99
17, 0.00000387, 17.30, 401.28, 11, 0.00000387, 383.98, 60, 0.00000387, 383.98, 60, 1.00, 1.00, 0.96, 0.96
18, 0.00001197, 18.94, 402.91, 11, 0.00001197, 383.98, 60, 0.00001197, 383.98, 60, 1.00, 1.00, 0.95, 0.95
Mon Dec 18 00:32:47 EST 2023

Completed

