BENCH: vgg19
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, random-300 exec, random-300 tuning, random-300 trials, exec speedup, tuning speedup
0, 0.00000729, 1.02, 2, 0.00000662, 4.05, 4, 1.10, 0.25
1, 0.00091265, 28.91, 21, 0.00364999, 260.89, 100, 0.25, 0.11
2, 0.00000176, 0.95, 2, 0.00000176, 3.81, 4, 1.00, 0.25
3, 0.01593003, 80.03, 51, 0.04341727, 427.82, 100, 0.37, 0.19
4, 0.00007056, 127.27, 55, 0.00887779, 223.73, 100, 0.01, 0.57
5, 0.00001336, 0.97, 2, 0.00001318, 3.88, 4, 1.01, 0.25
6, 0.01393583, 128.96, 44, 0.02561347, 893.88, 100, 0.54, 0.14
7, 0.00005277, 1.01, 2, 0.00019046, 4.75, 4, 0.28, 0.21
8, 0.00713405, 74.96, 53, 0.02255313, 340.40, 100, 0.32, 0.22
9, 0.00188486, 195.31, 34, 0.01010977, 197.81, 100, 0.19, 0.99
10, 0.00002745, 1.67, 2, 0.00004347, 3.92, 4, 0.63, 0.43
11, 0.00728946, 124.67, 32, 0.01865170, 417.28, 100, 0.39, 0.30
12, 0.01151000, 200.55, 55, 0.06371583, 366.46, 100, 0.18, 0.55
13, 0.01452583, 176.10, 36, 0.10245300, 605.88, 100, 0.14, 0.29
14, 0.00000879, 73.08, 76, 0.00001123, 98.27, 100, 0.78, 0.74
15, 0.00000416, 1.01, 2, 0.00000461, 4.05, 4, 0.90, 0.25
16, 0.00367380, 96.91, 35, 0.01124930, 601.81, 100, 0.33, 0.16
17, 0.01337583, 96.35, 44, 0.04776437, 369.88, 100, 0.28, 0.26
18, 0.00721613, 63.20, 51, 0.01904843, 320.06, 100, 0.38, 0.20
