BENCH: resnet101
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, random-300 exec, random-300 tuning, random-300 trials, exec speedup, tuning speedup
0, 0.00097709, 65.42, 38, 0.00219534, 221.20, 100, 0.45, 0.30
1, 0.00110434, 112.35, 45, 0.00133978, 244.56, 100, 0.82, 0.46
2, 0.00040935, 63.77, 45, 0.00077954, 179.15, 100, 0.53, 0.36
3, 0.00095040, 29.73, 22, 0.00149227, 242.76, 100, 0.64, 0.12
4, 0.00050012, 78.26, 55, 0.00418096, 132.88, 100, 0.12, 0.59
5, 0.00112288, 52.80, 36, 0.00114284, 267.73, 100, 0.98, 0.20
6, 0.00049261, 108.12, 47, 0.00088944, 161.08, 100, 0.55, 0.67
7, 0.00004785, 136.46, 62, 9999.00000000, 226.52, 100, 0.00, 0.60
8, 0.00117258, 61.58, 44, 0.01271417, 187.18, 100, 0.09, 0.33
9, 0.00000454, 0.95, 2, 0.00000476, 3.87, 4, 0.95, 0.25
10, 0.00014556, 157.29, 70, 0.00021503, 134.16, 100, 0.68, 1.17
11, 0.00088163, 52.32, 45, 0.00599944, 219.17, 100, 0.15, 0.24
12, 0.00048712, 63.70, 45, 0.00114829, 231.13, 100, 0.42, 0.28
13, 0.00058475, 84.55, 47, 0.00074355, 182.09, 100, 0.79, 0.46
14, 0.00000734, 10.69, 12, 0.00000858, 95.66, 100, 0.85, 0.11
15, 0.00098663, 398.82, 39, 0.00421778, 564.22, 100, 0.23, 0.71
16, 0.00093912, 58.43, 47, 0.00125940, 207.70, 100, 0.75, 0.28
17, 0.00052412, 52.69, 44, 0.00465127, 150.80, 100, 0.11, 0.35
18, 0.00111425, 51.57, 44, 0.00637552, 286.36, 100, 0.17, 0.18
19, 0.00118624, 250.38, 39, 0.00127830, 223.55, 100, 0.93, 1.12
20, 0.00108939, 217.36, 36, 0.00267032, 635.99, 100, 0.41, 0.34
21, 0.00052288, 214.51, 56, 0.00075763, 172.13, 100, 0.69, 1.25
22, 0.00101443, 64.39, 53, 0.00437227, 161.93, 100, 0.23, 0.40
23, 0.00043930, 60.48, 56, 0.00415048, 256.82, 100, 0.11, 0.24
24, 0.00111982, 46.95, 43, 0.00433566, 169.16, 100, 0.26, 0.28
25, 0.00001845, 17.82, 19, 0.00001816, 79.23, 80, 1.02, 0.22
26, 0.00102711, 48.93, 43, 0.00392111, 284.49, 100, 0.26, 0.17
27, 0.00042513, 53.10, 52, 0.00436512, 121.49, 100, 0.10, 0.44
