BENCH: densenet201
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, random-300 exec, random-300 tuning, random-300 trials, exec speedup, tuning speedup
0, 0.00051878, 99.09, 23, 0.00087834, 112.46, 100, 0.59, 0.88
1, 0.00019267, 51.81, 43, 0.00013700, 121.31, 100, 1.41, 0.43
2, 0.00031432, 66.45, 57, 0.00058290, 142.47, 100, 0.54, 0.47
3, 0.00038797, 57.78, 43, 0.00119843, 174.88, 100, 0.32, 0.33
4, 0.00054013, 51.70, 43, 0.00218663, 208.46, 100, 0.25, 0.25
5, 0.00010717, 57.18, 43, 0.00013733, 183.91, 100, 0.78, 0.31
6, 0.00116425, 39.12, 32, 0.00394880, 141.03, 100, 0.29, 0.28
7, 0.00015032, 74.57, 62, 0.00019504, 132.65, 100, 0.77, 0.56
8, 0.00000451, 0.96, 2, 0.00000539, 3.83, 4, 0.84, 0.25
9, 0.00045821, 84.69, 43, 0.00072535, 132.05, 100, 0.63, 0.64
10, 0.00018855, 68.79, 53, 0.00024160, 168.52, 100, 0.78, 0.41
11, 0.00043411, 47.52, 42, 0.00093555, 187.11, 100, 0.46, 0.25
12, 0.00069470, 81.63, 38, 0.00809532, 233.33, 100, 0.09, 0.35
13, 0.00012031, 87.31, 55, 0.00088375, 213.46, 100, 0.14, 0.41
14, 0.00011357, 105.51, 88, 0.00026331, 132.45, 100, 0.43, 0.80
15, 0.00044786, 36.72, 34, 0.00034700, 115.68, 100, 1.29, 0.32
16, 0.00007304, 79.56, 68, 0.00055679, 406.56, 100, 0.13, 0.20
17, 0.00004190, 113.24, 55, 0.00019225, 209.34, 100, 0.22, 0.54
18, 0.00050898, 46.52, 43, 0.00095787, 165.37, 100, 0.53, 0.28
19, 0.00097842, 32.33, 28, 0.00406287, 261.09, 100, 0.24, 0.12
20, 0.00007999, 53.81, 48, 0.00018921, 149.40, 100, 0.42, 0.36
21, 0.00013615, 61.51, 60, 0.00043931, 121.42, 100, 0.31, 0.51
22, 0.00015145, 50.31, 43, 0.00011962, 162.94, 100, 1.27, 0.31
23, 0.00031600, 118.00, 84, 0.00070431, 168.98, 100, 0.45, 0.70
24, 0.00000417, 0.97, 2, 0.00000477, 3.88, 4, 0.87, 0.25
25, 0.00041917, 43.47, 43, 0.00050573, 129.15, 100, 0.83, 0.34
26, 0.00013155, 54.84, 43, 0.00011932, 170.33, 100, 1.10, 0.32
27, 0.00020553, 45.58, 43, 0.00120486, 131.14, 100, 0.17, 0.35
28, 0.00009503, 85.01, 45, 0.00012702, 161.82, 100, 0.75, 0.53
29, 0.00050237, 145.30, 43, 0.00042740, 138.84, 100, 1.18, 1.05
30, 0.00007051, 67.49, 57, 0.00034835, 130.70, 100, 0.20, 0.52
31, 0.00014859, 76.44, 48, 0.00050566, 188.64, 100, 0.29, 0.41
32, 0.00016037, 47.29, 43, 0.00024231, 156.47, 100, 0.66, 0.30
33, 0.00061180, 44.82, 43, 0.00066326, 117.07, 100, 0.92, 0.38
