BENCH: shufflenet
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, random-300 exec, random-300 tuning, random-300 trials, exec speedup, tuning speedup
0, 0.00000639, 15.63, 16, 0.00001942, 195.99, 100, 0.33, 0.08
1, 0.00008807, 16.10, 12, 0.00054629, 160.59, 100, 0.16, 0.10
2, 0.00011775, 74.59, 48, 0.00022367, 185.06, 100, 0.53, 0.40
3, 0.00001833, 120.80, 56, 0.00036722, 217.81, 100, 0.05, 0.55
4, 0.00000480, 10.67, 11, 0.00001337, 154.46, 100, 0.36, 0.07
5, 0.00002946, 16.88, 17, 0.00008279, 164.62, 100, 0.36, 0.10
6, 0.00001003, 8.42, 9, 0.00002984, 187.32, 100, 0.34, 0.04
7, 0.00004151, 43.09, 43, 0.00003775, 143.27, 100, 1.10, 0.30
8, 0.00001075, 45.23, 46, 0.00001409, 100.69, 100, 0.76, 0.45
9, 0.00009540, 29.19, 21, 0.00047170, 130.98, 100, 0.20, 0.22
10, 0.00000572, 12.55, 11, 0.00000778, 195.29, 100, 0.74, 0.06
11, 0.00013611, 44.18, 43, 0.00031518, 210.32, 100, 0.43, 0.21
12, 0.00001080, 7.14, 8, 0.00003998, 263.62, 100, 0.27, 0.03
13, 0.00006090, 26.19, 19, 0.00058214, 156.13, 100, 0.10, 0.17
14, 0.00000538, 10.40, 11, 0.00002556, 299.84, 100, 0.21, 0.03
15, 0.00030513, 45.83, 45, 0.00031913, 168.65, 100, 0.96, 0.27
16, 0.00004408, 42.83, 43, 0.00005049, 198.23, 100, 0.87, 0.22
17, 0.00001036, 13.79, 11, 0.00001653, 185.60, 100, 0.63, 0.07
18, 0.00001138, 5.12, 6, 0.00000906, 82.76, 80, 1.26, 0.06
19, 0.00000339, 25.59, 27, 0.00000362, 98.15, 100, 0.94, 0.26
