BENCH: inception_v3
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, random-300 exec, random-300 tuning, random-300 trials, exec speedup, tuning speedup
0, 0.00010023, 65.64, 49, 0.00011648, 168.03, 100, 0.86, 0.39
1, 0.00009202, 45.10, 43, 0.00018290, 153.62, 100, 0.50, 0.29
2, 0.00012625, 10.94, 11, 0.00056934, 444.79, 100, 0.22, 0.02
3, 0.00002120, 16.54, 18, 0.00001540, 62.35, 64, 1.38, 0.27
4, 0.00043593, 47.50, 43, 0.00045029, 133.21, 100, 0.97, 0.36
5, 0.00010647, 53.29, 43, 0.00013935, 209.40, 100, 0.76, 0.25
6, 0.00025444, 66.97, 38, 0.00113940, 218.80, 100, 0.22, 0.31
7, 0.00000722, 9.74, 11, 0.00000655, 78.06, 80, 1.10, 0.12
8, 0.00004224, 128.21, 56, 9999.00000000, 228.04, 100, 0.00, 0.56
9, 0.00032854, 54.92, 43, 0.00060668, 171.45, 100, 0.54, 0.32
10, 0.00023503, 46.06, 43, 0.00026593, 137.68, 100, 0.88, 0.33
11, 0.00000337, 1.00, 2, 0.00000387, 4.01, 4, 0.87, 0.25
12, 0.00031563, 51.37, 43, 0.00095865, 267.84, 100, 0.33, 0.19
13, 0.00081990, 35.58, 35, 0.01153473, 314.46, 100, 0.07, 0.11
14, 0.00000806, 9.79, 10, 0.00000637, 69.20, 64, 1.26, 0.14
15, 0.00039558, 67.29, 43, 0.00228970, 250.82, 100, 0.17, 0.27
16, 0.00011682, 53.68, 43, 0.00024967, 295.94, 100, 0.47, 0.18
17, 0.00006326, 85.10, 56, 0.00014529, 156.84, 100, 0.44, 0.54
18, 0.00024322, 45.14, 43, 0.00046279, 169.50, 100, 0.53, 0.27
19, 0.00014879, 57.89, 50, 0.00133293, 205.72, 100, 0.11, 0.28
20, 0.00005065, 9.97, 11, 0.00002912, 63.62, 64, 1.74, 0.16
21, 0.00029644, 44.68, 43, 0.00153152, 141.47, 100, 0.19, 0.32
22, 0.00016098, 40.72, 38, 0.00037858, 156.98, 100, 0.43, 0.26
23, 0.00002914, 12.66, 14, 0.00001557, 62.95, 64, 1.87, 0.20
24, 0.00000750, 27.77, 29, 0.00000979, 98.12, 100, 0.77, 0.28
25, 0.00009902, 78.30, 56, 0.00033737, 150.58, 100, 0.29, 0.52
26, 0.00135942, 40.24, 36, 0.00194119, 150.49, 100, 0.70, 0.27
27, 0.00174871, 38.01, 35, 0.00502808, 262.79, 100, 0.35, 0.14
28, 0.00016546, 42.55, 43, 0.00062990, 228.82, 100, 0.26, 0.19
29, 0.00014516, 65.89, 64, 0.00191345, 378.47, 100, 0.08, 0.17
30, 0.00000533, 9.89, 11, 0.00000566, 79.11, 80, 0.94, 0.12
31, 0.00043259, 62.32, 29, 0.00185932, 293.09, 100, 0.23, 0.21
32, 0.00009723, 55.53, 47, 0.00024274, 141.39, 100, 0.40, 0.39
33, 0.00044831, 47.75, 43, 0.00055995, 160.11, 100, 0.80, 0.30
34, 0.00039589, 56.61, 43, 0.00202765, 161.18, 100, 0.20, 0.35
35, 0.00009502, 56.18, 49, 0.00064754, 135.07, 100, 0.15, 0.42
36, 0.00027114, 43.23, 43, 0.00115338, 204.14, 100, 0.24, 0.21
37, 0.00001182, 15.61, 17, 0.00001206, 78.01, 80, 0.98, 0.20
38, 0.00041310, 72.17, 43, 0.00068099, 229.60, 100, 0.61, 0.31
39, 0.00018519, 66.75, 62, 0.00027448, 218.13, 100, 0.67, 0.31
40, 0.00026692, 43.02, 43, 0.00063909, 169.29, 100, 0.42, 0.25
41, 0.00013150, 69.67, 43, 0.00032711, 199.29, 100, 0.40, 0.35
42, 0.00026364, 44.92, 45, 0.00117284, 171.31, 100, 0.22, 0.26
43, 0.00044445, 51.20, 36, 0.00175959, 243.20, 100, 0.25, 0.21
44, 0.00001306, 11.81, 13, 0.00000931, 63.20, 64, 1.40, 0.19
45, 0.00032983, 47.61, 32, 0.00121362, 279.38, 100, 0.27, 0.17
46, 0.00000443, 9.02, 10, 0.00000513, 65.94, 64, 0.86, 0.14
47, 0.00013334, 72.76, 49, 0.00013276, 131.65, 100, 1.00, 0.55
48, 0.00002843, 9.63, 10, 0.00002344, 95.77, 80, 1.21, 0.10
49, 0.00288536, 39.98, 36, 0.01503577, 255.85, 100, 0.19, 0.16
50, 0.00024591, 44.17, 43, 0.00042292, 196.67, 100, 0.58, 0.22
51, 0.00017923, 49.07, 46, 0.00044274, 110.51, 100, 0.40, 0.44
52, 0.00018726, 48.79, 45, 0.00059237, 172.98, 100, 0.32, 0.28
53, 0.00010931, 95.93, 65, 0.00046561, 165.85, 100, 0.23, 0.58
54, 0.00014352, 48.70, 33, 0.00015659, 164.95, 100, 0.92, 0.30
55, 0.00052808, 39.43, 36, 0.00500268, 247.72, 100, 0.11, 0.16
