BENCH: resnet152
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, random-300 exec, random-300 tuning, random-300 trials, exec speedup, tuning speedup
0, 0.00071862, 54.03, 45, 0.00131149, 218.64, 100, 0.55, 0.25
1, 0.00101783, 41.15, 39, 0.00094997, 187.00, 100, 1.07, 0.22
2, 0.00046764, 45.03, 45, 0.00077065, 191.95, 100, 0.61, 0.23
3, 0.00112458, 25.63, 22, 0.00426990, 189.69, 100, 0.26, 0.14
4, 0.00044807, 57.78, 56, 0.00106520, 152.94, 100, 0.42, 0.38
5, 0.00117066, 41.40, 36, 0.00185521, 193.26, 100, 0.63, 0.21
6, 0.00045743, 63.61, 56, 0.00072983, 151.73, 100, 0.63, 0.42
7, 0.00004695, 110.22, 59, 9999.00000000, 239.83, 100, 0.00, 0.46
8, 0.00111871, 50.86, 36, 0.00169386, 174.31, 100, 0.66, 0.29
9, 0.00000463, 0.98, 2, 0.00000507, 3.91, 4, 0.91, 0.25
10, 0.00011612, 105.42, 84, 0.00034173, 170.74, 100, 0.34, 0.62
11, 0.00090522, 58.57, 45, 0.00168743, 263.88, 100, 0.54, 0.22
12, 0.00043589, 68.76, 59, 0.00227386, 158.99, 100, 0.19, 0.43
13, 0.00049036, 79.81, 55, 0.00061569, 134.34, 100, 0.80, 0.59
14, 0.00000928, 45.09, 46, 0.00001140, 99.17, 100, 0.81, 0.45
15, 0.00103558, 88.46, 51, 0.00947141, 144.19, 100, 0.11, 0.61
16, 0.00083532, 50.64, 47, 0.00235027, 164.35, 100, 0.36, 0.31
17, 0.00039745, 69.63, 47, 0.00067295, 203.62, 100, 0.59, 0.34
18, 0.00112924, 51.25, 44, 0.00723645, 205.59, 100, 0.16, 0.25
19, 0.00103462, 223.58, 39, 0.00250969, 303.63, 100, 0.41, 0.74
20, 0.00115167, 46.26, 36, 0.00158279, 247.21, 100, 0.73, 0.19
21, 0.00058388, 48.96, 38, 0.00209997, 164.07, 100, 0.28, 0.30
22, 0.00102745, 48.29, 34, 0.00369435, 185.28, 100, 0.28, 0.26
23, 0.00057856, 41.08, 40, 0.00176721, 120.46, 100, 0.33, 0.34
24, 0.00114147, 123.75, 43, 0.00239739, 142.78, 100, 0.48, 0.87
25, 0.00001785, 8.94, 10, 0.00001799, 63.86, 64, 0.99, 0.14
26, 0.00105788, 47.98, 43, 0.00176610, 150.79, 100, 0.60, 0.32
27, 0.00048309, 63.52, 52, 0.00258752, 141.19, 100, 0.19, 0.45
