BENCH: squeezenet
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, random-300 exec, random-300 tuning, random-300 trials, exec speedup, tuning speedup
0, 0.00004937, 16.97, 18, 0.00026397, 117.42, 100, 0.19, 0.14
1, 0.00001929, 54.64, 42, 0.00005405, 179.59, 100, 0.36, 0.30
2, 0.00018386, 9.42, 10, 0.00237282, 191.83, 100, 0.08, 0.05
3, 0.00002860, 63.29, 56, 0.00028339, 147.92, 100, 0.10, 0.43
4, 0.00000663, 4.95, 6, 0.00000616, 78.41, 80, 1.08, 0.06
5, 0.00005124, 30.21, 30, 0.00021483, 107.91, 100, 0.24, 0.28
6, 0.00000699, 1.07, 2, 0.00000535, 4.24, 4, 1.31, 0.25
7, 0.00004110, 87.11, 54, 0.00020745, 180.03, 100, 0.20, 0.48
8, 0.00083639, 18.80, 19, 0.01122163, 132.34, 100, 0.07, 0.14
9, 0.00025191, 74.35, 62, 0.00051115, 241.51, 100, 0.49, 0.31
10, 0.00005644, 28.26, 29, 0.00040195, 242.68, 100, 0.14, 0.12
11, 0.00005840, 55.33, 43, 0.00009592, 137.90, 100, 0.61, 0.40
12, 0.00014155, 57.66, 47, 0.00048095, 247.18, 100, 0.29, 0.23
13, 0.00000607, 40.75, 42, 0.00001058, 98.19, 100, 0.57, 0.42
14, 0.00022290, 23.01, 21, 0.00089361, 350.38, 100, 0.25, 0.07
15, 0.00000935, 18.86, 20, 0.00001101, 63.00, 64, 0.85, 0.30
16, 0.00008750, 68.53, 43, 0.00028811, 161.90, 100, 0.30, 0.42
17, 0.00034371, 42.18, 34, 0.00062964, 160.66, 100, 0.55, 0.26
18, 0.00001818, 9.00, 10, 0.00002098, 79.36, 80, 0.87, 0.11
19, 0.00008446, 29.98, 30, 0.00013237, 116.81, 100, 0.64, 0.26
20, 0.00008030, 69.07, 43, 0.00041191, 149.53, 100, 0.19, 0.46
21, 0.00002685, 58.59, 57, 0.00021600, 194.85, 100, 0.12, 0.30
22, 0.00003024, 80.89, 51, 0.00039097, 127.73, 100, 0.08, 0.63
