BENCH: densenet169
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, random-300 exec, random-300 tuning, random-300 trials, exec speedup, tuning speedup
0, 0.00041269, 67.65, 43, 0.00077428, 142.53, 100, 0.53, 0.47
1, 0.00026448, 45.26, 38, 0.00044786, 133.31, 100, 0.59, 0.34
2, 0.00038852, 46.00, 43, 0.00031288, 154.86, 100, 1.24, 0.30
3, 0.00014826, 48.51, 43, 0.00010389, 143.99, 100, 1.43, 0.34
4, 0.00012576, 132.41, 73, 0.00027897, 149.14, 100, 0.45, 0.89
5, 0.00034602, 58.99, 42, 0.00089575, 174.01, 100, 0.39, 0.34
6, 0.00123251, 25.07, 22, 0.01537040, 213.08, 100, 0.08, 0.12
7, 0.00028050, 17.74, 18, 0.00038976, 119.78, 100, 0.72, 0.15
8, 0.00000400, 0.97, 2, 0.00000514, 4.11, 4, 0.78, 0.24
9, 0.00028823, 64.36, 59, 0.00041474, 152.51, 100, 0.69, 0.42
10, 0.00006406, 76.62, 59, 0.00007763, 140.80, 100, 0.83, 0.54
11, 0.00085300, 45.69, 43, 0.00139687, 141.90, 100, 0.61, 0.32
12, 0.00006623, 78.76, 60, 0.00014832, 202.39, 100, 0.45, 0.39
13, 0.00012684, 111.12, 65, 0.00068023, 173.78, 100, 0.19, 0.64
14, 0.00042632, 56.05, 43, 0.00042852, 145.91, 100, 0.99, 0.38
15, 0.00004166, 122.22, 56, 9999.00000000, 234.82, 100, 0.00, 0.52
16, 0.00007635, 48.37, 43, 0.00011229, 152.34, 100, 0.68, 0.32
17, 0.00109699, 39.78, 36, 0.00410907, 200.38, 100, 0.27, 0.20
18, 0.00009671, 50.39, 46, 0.00024412, 165.25, 100, 0.40, 0.30
19, 0.00009498, 68.66, 61, 0.00015657, 195.50, 100, 0.61, 0.35
20, 0.00024689, 69.46, 60, 0.00040478, 143.35, 100, 0.61, 0.48
21, 0.00000402, 0.98, 2, 0.00000446, 3.91, 4, 0.90, 0.25
22, 0.00007932, 60.99, 55, 0.00007698, 157.53, 100, 1.03, 0.39
23, 0.00008845, 67.82, 52, 0.00011637, 134.43, 100, 0.76, 0.50
24, 0.00008778, 114.80, 61, 0.00024093, 194.34, 100, 0.36, 0.59
25, 0.00033805, 43.28, 43, 0.00052680, 159.95, 100, 0.64, 0.27
26, 0.00007536, 56.52, 55, 0.00010220, 208.71, 100, 0.74, 0.27
27, 0.00014371, 42.98, 43, 0.00011708, 160.41, 100, 1.23, 0.27
