BENCH: resnet50
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, random-300 exec, random-300 tuning, random-300 trials, exec speedup, tuning speedup
0, 0.00079734, 66.83, 54, 0.00207394, 163.55, 100, 0.38, 0.41
1, 0.00088676, 56.21, 45, 0.00373943, 174.40, 100, 0.24, 0.32
2, 0.00049881, 91.49, 45, 0.00081068, 185.77, 100, 0.62, 0.49
3, 0.00089413, 36.51, 21, 0.00174368, 182.35, 100, 0.51, 0.20
4, 0.00043608, 65.67, 55, 0.00104962, 126.80, 100, 0.42, 0.52
5, 0.00100146, 50.44, 36, 0.00365080, 390.36, 100, 0.27, 0.13
6, 0.00044950, 41.19, 39, 0.00055504, 191.55, 100, 0.81, 0.22
7, 0.00005266, 71.62, 37, 9999.00000000, 210.45, 100, 0.00, 0.34
8, 0.00100213, 49.63, 36, 0.00317387, 152.79, 100, 0.32, 0.32
9, 0.00000480, 0.98, 2, 0.00000463, 3.92, 4, 1.04, 0.25
10, 0.00012519, 97.01, 64, 0.00034408, 148.66, 100, 0.36, 0.65
11, 0.00083640, 71.15, 45, 0.00208729, 237.83, 100, 0.40, 0.30
12, 0.00044740, 71.76, 56, 0.00080552, 162.06, 100, 0.56, 0.44
13, 0.00050402, 60.90, 44, 0.00059115, 136.80, 100, 0.85, 0.45
14, 0.00000911, 56.86, 58, 0.00000908, 99.72, 100, 1.00, 0.57
15, 0.00095677, 42.28, 34, 0.00137518, 565.48, 100, 0.70, 0.07
16, 0.00076499, 73.96, 46, 0.00199508, 162.18, 100, 0.38, 0.46
17, 0.00049182, 50.76, 44, 0.00167301, 141.89, 100, 0.29, 0.36
18, 0.00104542, 43.04, 36, 0.00335515, 193.34, 100, 0.31, 0.22
19, 0.00093217, 57.79, 39, 0.00158732, 187.00, 100, 0.59, 0.31
20, 0.00102004, 91.06, 36, 0.00164278, 183.88, 100, 0.62, 0.50
21, 0.00046033, 65.00, 45, 0.00170338, 193.44, 100, 0.27, 0.34
22, 0.00096041, 60.97, 34, 0.00361093, 220.76, 100, 0.27, 0.28
23, 0.00048544, 64.88, 55, 0.00055279, 133.71, 100, 0.88, 0.49
24, 0.00085889, 48.76, 45, 0.00171613, 161.35, 100, 0.50, 0.30
25, 0.00002258, 1.00, 2, 0.00001692, 3.98, 4, 1.33, 0.25
26, 0.00077955, 45.30, 43, 0.00262678, 165.59, 100, 0.30, 0.27
27, 0.00041289, 71.11, 50, 0.00120818, 183.96, 100, 0.34, 0.39
