BENCH: densenet161
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, random-300 exec, random-300 tuning, random-300 trials, exec speedup, tuning speedup
0, 0.00060198, 47.76, 35, 0.00110976, 218.89, 100, 0.54, 0.22
1, 0.00004845, 57.62, 55, 0.00007811, 154.91, 100, 0.62, 0.37
2, 0.00014596, 43.94, 45, 0.00081694, 174.13, 100, 0.18, 0.25
3, 0.00057296, 52.88, 42, 0.00098083, 197.41, 100, 0.58, 0.27
4, 0.00026999, 52.72, 43, 0.00112560, 134.32, 100, 0.24, 0.39
5, 0.00064183, 54.78, 43, 0.00327986, 390.13, 100, 0.20, 0.14
6, 0.00167759, 16.89, 15, 0.00251678, 332.28, 100, 0.67, 0.05
7, 0.00057845, 17.50, 18, 0.00042884, 118.08, 100, 1.35, 0.15
8, 0.00000507, 0.97, 2, 0.00000584, 3.86, 4, 0.87, 0.25
9, 0.00047511, 43.30, 35, 0.00420609, 204.48, 100, 0.11, 0.21
10, 0.00022641, 63.89, 43, 0.00022639, 181.12, 100, 1.00, 0.35
11, 0.00144524, 47.93, 35, 0.00304444, 201.10, 100, 0.47, 0.24
12, 0.00019572, 59.63, 53, 0.00037728, 187.81, 100, 0.52, 0.32
13, 0.00048358, 51.06, 38, 0.00095315, 170.40, 100, 0.51, 0.30
14, 0.00070945, 44.70, 43, 0.00079988, 171.91, 100, 0.89, 0.26
15, 0.00014390, 49.16, 48, 0.00062947, 192.02, 100, 0.23, 0.26
16, 0.00004656, 128.42, 56, 0.00137534, 227.81, 100, 0.03, 0.56
17, 0.00208395, 42.00, 36, 0.02566773, 333.04, 100, 0.08, 0.13
18, 0.00021377, 63.49, 57, 0.00057402, 145.07, 100, 0.37, 0.44
19, 0.00043417, 45.12, 43, 0.00144691, 182.15, 100, 0.30, 0.25
20, 0.00059787, 57.33, 38, 0.00225064, 150.52, 100, 0.27, 0.38
21, 0.00000483, 0.97, 2, 0.00000470, 3.88, 4, 1.03, 0.25
22, 0.00012736, 58.68, 45, 0.00013805, 122.67, 100, 0.92, 0.48
23, 0.00034593, 42.88, 43, 0.00037300, 159.15, 100, 0.93, 0.27
24, 0.00018460, 47.82, 45, 0.00019713, 119.03, 100, 0.94, 0.40
25, 0.00066195, 46.24, 43, 0.00295984, 134.97, 100, 0.22, 0.34
26, 0.00058113, 44.86, 37, 0.00151449, 192.44, 100, 0.38, 0.23
27, 0.00028699, 17.30, 18, 0.00040883, 121.04, 100, 0.70, 0.14
28, 0.00026278, 63.80, 43, 0.00022167, 203.00, 100, 1.19, 0.31
29, 0.00023298, 77.44, 45, 0.00018269, 150.61, 100, 1.28, 0.51
30, 0.00048334, 86.10, 38, 0.00198360, 181.33, 100, 0.24, 0.47
31, 0.00009652, 55.59, 45, 0.00013363, 152.97, 100, 0.72, 0.36
32, 0.00022344, 90.96, 74, 0.00177633, 207.77, 100, 0.13, 0.44
33, 0.00146492, 46.16, 38, 0.00448932, 225.43, 100, 0.33, 0.20
34, 0.00022046, 46.87, 43, 0.00044148, 128.98, 100, 0.50, 0.36
35, 0.00050740, 70.48, 38, 0.00064419, 134.69, 100, 0.79, 0.52
36, 0.00000559, 0.97, 2, 0.00000689, 3.88, 4, 0.81, 0.25
37, 0.00030486, 20.14, 18, 0.00036190, 123.60, 100, 0.84, 0.16
38, 0.00070568, 53.11, 38, 0.00218152, 178.40, 100, 0.32, 0.30
39, 0.00095905, 50.50, 38, 0.00471179, 219.23, 100, 0.20, 0.23
40, 0.00071720, 59.76, 43, 0.00088128, 156.76, 100, 0.81, 0.38
41, 0.00065485, 45.27, 38, 0.00243422, 160.16, 100, 0.27, 0.28
42, 0.00000696, 36.39, 38, 0.00000854, 99.36, 100, 0.81, 0.37
43, 0.00018503, 51.60, 48, 0.00080302, 142.66, 100, 0.23, 0.36
44, 0.00084058, 57.34, 38, 0.00300745, 351.39, 100, 0.28, 0.16
45, 0.00042567, 71.13, 38, 0.00068920, 169.78, 100, 0.62, 0.42
46, 0.00095346, 54.72, 43, 0.00350946, 185.35, 100, 0.27, 0.30
47, 0.00032084, 49.65, 43, 0.00159962, 133.89, 100, 0.20, 0.37
48, 0.00071006, 70.18, 38, 0.00225172, 219.95, 100, 0.32, 0.32
49, 0.00033407, 63.52, 57, 0.00312996, 173.62, 100, 0.11, 0.37
50, 0.00072118, 46.74, 38, 0.00086684, 161.49, 100, 0.83, 0.29
51, 0.00027831, 64.07, 43, 0.00023321, 114.10, 100, 1.19, 0.56
52, 0.00084803, 28.97, 28, 0.00117584, 123.72, 100, 0.72, 0.23
53, 0.00030294, 44.49, 43, 0.00057022, 149.82, 100, 0.53, 0.30
54, 0.00075035, 76.70, 38, 0.00390857, 150.39, 100, 0.19, 0.51
55, 0.00025998, 56.19, 43, 0.00170085, 169.96, 100, 0.15, 0.33
56, 0.00039615, 60.76, 45, 0.00065751, 149.29, 100, 0.60, 0.41
57, 0.00388873, 102.33, 45, 0.03398720, 242.02, 100, 0.11, 0.42
58, 0.00077479, 101.60, 42, 0.00107742, 178.68, 100, 0.72, 0.57
59, 0.00013682, 61.41, 55, 0.00015225, 177.67, 100, 0.90, 0.35
60, 0.00035027, 49.40, 49, 0.00034812, 174.28, 100, 1.01, 0.28
61, 0.00072063, 51.38, 43, 0.00073405, 272.39, 100, 0.98, 0.19
62, 0.00110399, 48.39, 43, 0.00658770, 152.42, 100, 0.17, 0.32
63, 0.00000972, 0.96, 2, 0.00001053, 3.86, 4, 0.92, 0.25
64, 0.00045205, 51.13, 43, 0.00047779, 148.10, 100, 0.95, 0.35
65, 0.00039183, 45.94, 43, 0.00204864, 166.38, 100, 0.19, 0.28
66, 0.00207186, 60.02, 45, 0.01307673, 172.46, 100, 0.16, 0.35
67, 0.00076109, 54.36, 43, 0.00217487, 177.83, 100, 0.35, 0.31
68, 0.00022850, 108.29, 73, 0.00062801, 141.26, 100, 0.36, 0.77
69, 0.00019804, 50.78, 43, 0.00021935, 149.98, 100, 0.90, 0.34
70, 0.00021293, 49.39, 38, 0.00026047, 159.71, 100, 0.82, 0.31
71, 0.00032680, 40.60, 35, 0.00379399, 247.71, 100, 0.09, 0.16
72, 0.00019365, 46.01, 43, 0.00016794, 177.60, 100, 1.15, 0.26
73, 0.00036061, 17.35, 18, 0.00212804, 119.40, 100, 0.17, 0.15
74, 0.00030939, 48.45, 45, 0.00058193, 164.77, 100, 0.53, 0.29
75, 0.00055362, 76.07, 43, 0.00073152, 134.71, 100, 0.76, 0.56
76, 0.00058833, 61.64, 43, 0.00098957, 200.99, 100, 0.59, 0.31
77, 0.00230441, 55.00, 43, 0.00296056, 202.75, 100, 0.78, 0.27
78, 0.00082980, 50.06, 43, 0.00693940, 260.47, 100, 0.12, 0.19
79, 0.00020740, 63.65, 53, 0.00052784, 171.08, 100, 0.39, 0.37
80, 0.00124904, 54.95, 43, 0.00278593, 385.41, 100, 0.45, 0.14
81, 0.00003908, 9.37, 10, 0.00003607, 83.16, 80, 1.08, 0.11
82, 0.00073347, 44.55, 43, 0.00058730, 176.67, 100, 1.25, 0.25
83, 0.00080806, 50.17, 43, 0.00096903, 176.54, 100, 0.83, 0.28
84, 0.00115686, 63.24, 38, 0.01470973, 224.64, 100, 0.08, 0.28
85, 0.00090072, 54.23, 38, 0.00352535, 178.21, 100, 0.26, 0.30
86, 0.00040936, 64.75, 38, 0.00056730, 155.21, 100, 0.72, 0.42
87, 0.00062065, 52.19, 35, 0.00210738, 206.37, 100, 0.29, 0.25
88, 0.00017889, 66.88, 57, 0.00074859, 161.76, 100, 0.24, 0.41
89, 0.00070336, 48.93, 38, 0.00117870, 241.52, 100, 0.60, 0.20
90, 0.00036590, 49.54, 38, 0.00185231, 127.27, 100, 0.20, 0.39
91, 0.00041625, 53.32, 48, 0.00087104, 183.48, 100, 0.48, 0.29
