BENCH: vgg13
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, random-300 exec, random-300 tuning, random-300 trials, exec speedup, tuning speedup
0, 0.00089934, 23.43, 18, 0.00103323, 204.04, 100, 0.87, 0.11
1, 0.00004834, 1.22, 2, 0.00011481, 4.86, 4, 0.42, 0.25
2, 0.01352510, 90.58, 39, 0.02452213, 349.93, 100, 0.55, 0.26
3, 0.00006958, 110.12, 55, 9999.00000000, 216.16, 100, 0.00, 0.51
4, 0.00001269, 1.17, 2, 0.00003511, 4.66, 4, 0.36, 0.25
5, 0.01381333, 81.45, 36, 0.17698200, 892.79, 100, 0.08, 0.09
6, 0.00694571, 177.67, 39, 0.01892557, 346.62, 100, 0.37, 0.51
7, 0.00186013, 146.52, 38, 0.08851290, 376.93, 100, 0.02, 0.39
8, 0.00000904, 45.00, 47, 0.00000860, 99.66, 100, 1.05, 0.45
9, 0.00653624, 126.29, 89, 0.03326017, 659.48, 100, 0.20, 0.19
10, 0.01147080, 146.02, 34, 0.06239083, 362.96, 100, 0.18, 0.40
11, 0.01437753, 320.91, 36, 0.13391067, 763.69, 100, 0.11, 0.42
12, 0.00002643, 0.98, 2, 0.00004429, 3.92, 4, 0.60, 0.25
13, 0.00000510, 0.95, 2, 0.00000512, 3.81, 4, 1.00, 0.25
14, 0.01417200, 94.23, 32, 0.08597690, 396.03, 100, 0.16, 0.24
15, 0.00333132, 68.05, 36, 0.03507387, 587.53, 100, 0.09, 0.12
16, 0.00000177, 0.97, 2, 0.00000173, 3.88, 4, 1.02, 0.25
17, 0.00646800, 48.70, 34, 0.03215283, 421.32, 100, 0.20, 0.12
18, 0.00000775, 1.01, 2, 0.00000804, 4.06, 4, 0.96, 0.25
