BENCH: resnet18
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, random-300 exec, random-300 tuning, random-300 trials, exec speedup, tuning speedup
0, 0.00005994, 41.27, 42, 0.00009822, 113.73, 100, 0.61, 0.36
1, 0.00102064, 28.83, 21, 0.00655906, 278.50, 100, 0.16, 0.10
2, 0.00091932, 45.52, 46, 0.00114246, 107.80, 100, 0.80, 0.42
3, 0.00001248, 115.18, 55, 0.00012250, 216.99, 100, 0.10, 0.53
4, 0.00000217, 0.98, 2, 0.00000218, 3.88, 4, 1.00, 0.25
5, 0.00101817, 48.22, 34, 0.00174839, 190.67, 100, 0.58, 0.25
6, 0.00096477, 261.17, 39, 0.00249067, 244.27, 100, 0.39, 1.07
7, 0.00060674, 60.84, 41, 0.00091187, 255.52, 100, 0.67, 0.24
8, 0.00006424, 65.71, 57, 0.00011180, 132.87, 100, 0.57, 0.49
9, 0.00008997, 102.98, 80, 0.00015317, 160.93, 100, 0.59, 0.64
10, 0.00000658, 40.20, 42, 0.00000973, 99.11, 100, 0.68, 0.41
11, 0.00051051, 86.86, 32, 0.00133964, 269.66, 100, 0.38, 0.32
12, 0.00095695, 220.58, 39, 0.00383387, 315.78, 100, 0.25, 0.70
13, 0.00094592, 51.05, 34, 0.00212371, 219.72, 100, 0.45, 0.23
14, 0.00089840, 67.04, 35, 0.00357908, 276.46, 100, 0.25, 0.24
15, 0.00091542, 57.13, 51, 0.00168214, 130.51, 100, 0.54, 0.44
16, 0.00001809, 28.01, 29, 0.00001763, 64.24, 64, 1.03, 0.44
17, 0.00060644, 55.71, 53, 0.00092464, 135.76, 100, 0.66, 0.41
18, 0.00095644, 51.40, 34, 0.00343413, 198.85, 100, 0.28, 0.26
