BENCH: vgg16
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, random-300 exec, random-300 tuning, random-300 trials, exec speedup, tuning speedup
0, 0.00000743, 1.04, 2, 0.00000697, 3.84, 4, 1.07, 0.27
1, 0.00070377, 26.05, 21, 0.00365237, 300.79, 100, 0.19, 0.09
2, 0.00000178, 0.97, 2, 0.00000176, 3.86, 4, 1.01, 0.25
3, 0.01449447, 223.41, 39, 0.26646367, 1365.85, 100, 0.05, 0.16
4, 0.00009425, 92.89, 55, 9999.00000000, 214.75, 100, 0.00, 0.43
5, 0.00001327, 1.21, 2, 0.00003600, 4.82, 4, 0.37, 0.25
6, 0.01413493, 102.14, 44, 0.01994213, 929.86, 100, 0.71, 0.11
7, 0.00005277, 1.19, 2, 0.00008142, 4.05, 4, 0.65, 0.29
8, 0.00718800, 135.03, 39, 0.01176117, 457.34, 100, 0.61, 0.30
9, 0.00162259, 118.03, 56, 0.02386080, 233.50, 100, 0.07, 0.51
10, 0.00002606, 0.98, 2, 0.00004400, 3.91, 4, 0.59, 0.25
11, 0.00650693, 63.02, 44, 0.01616090, 500.62, 100, 0.40, 0.13
12, 0.01143690, 142.54, 33, 0.06422477, 403.08, 100, 0.18, 0.35
13, 0.01505230, 68.50, 36, 0.02816057, 506.44, 100, 0.53, 0.14
14, 0.00001158, 67.90, 68, 0.00000769, 97.57, 100, 1.51, 0.70
15, 0.00000486, 0.99, 2, 0.00000521, 3.99, 4, 0.93, 0.25
16, 0.00363694, 60.29, 35, 0.00681278, 353.40, 100, 0.53, 0.17
17, 0.01343600, 104.20, 44, 0.02187373, 880.94, 100, 0.61, 0.12
18, 0.00721724, 158.10, 39, 0.01191913, 336.43, 100, 0.61, 0.47
