BENCH: mobilenet_v2
layer, droplet-300 exec, droplet-300 std, droplet-300 tuning, droplet-300 trials
0, 0.00005794, 0.00000301, 61.54, 62
1, 0.00001491, 0.00000121, 10.77, 11
2, 0.00012294, 0.00000604, 60.73, 58
3, 0.00006504, 0.00000007, 65.66, 59
4, 0.00002508, 0.00000007, 67.26, 39
5, 0.00000371, 0.00000006, 2.00, 2
6, 0.00015653, 0.00000719, 63.21, 62
7, 0.00004510, 0.00000040, 13.20, 13
8, 0.00003286, 0.00000178, 53.70, 49
9, 0.00006110, 0.00000069, 62.28, 62
10, 0.00001920, 0.00000057, 11.84, 11
11, 0.00012627, 0.00002709, 41.86, 38
12, 0.00001046, 0.00000010, 10.44, 11
13, 0.00004335, 0.00000264, 66.14, 60
14, 0.00003719, 0.00000022, 18.40, 17
15, 0.00006485, 0.00000454, 39.33, 36
16, 0.00006029, 0.00000064, 66.10, 64
17, 0.00005448, 0.00000275, 61.68, 46
18, 0.00009914, 0.00000060, 36.84, 37
19, 0.00001182, 0.00000065, 12.50, 13
20, 0.00002464, 0.00000016, 51.19, 51
21, 0.00001145, 0.00000009, 51.95, 54
22, 0.00008970, 0.00000053, 25.47, 22
23, 0.00021826, 0.00000399, 29.51, 26
24, 0.00005029, 0.00000382, 62.07, 56
25, 0.00002119, 0.00000143, 11.43, 11
26, 0.00006624, 0.00000263, 75.54, 66
27, 0.00001244, 0.00000094, 16.28, 15
28, 0.00009135, 0.00000174, 10.20, 10
29, 0.00001278, 0.00000029, 11.08, 11
30, 0.00004397, 0.00000267, 61.20, 62
31, 0.00008130, 0.00000613, 44.90, 43
32, 0.00005190, 0.00000009, 12.21, 12
