BENCH: vgg13
layer, droplet-300 exec, droplet-300 std, droplet-300 tuning, droplet-300 trials
0, 0.00079376, 0.00004392, 30.43, 18
1, 0.00004834, 0.00000072, 2.00, 2
2, 0.01236300, 0.00008524, 174.50, 82
3, 0.00006958, 0.00000359, 104.14, 55
4, 0.00001269, 0.00000028, 2.00, 2
5, 0.01381333, 0.00001710, 62.56, 36
6, 0.00614892, 0.00001212, 155.76, 70
7, 0.00186013, 0.00001098, 72.44, 38
8, 0.00001001, 0.00000255, 47.78, 50
9, 0.00658666, 0.00005527, 123.23, 89
10, 0.01147080, 0.00000545, 112.87, 34
11, 0.01408620, 0.00004823, 164.04, 49
12, 0.00002643, 0.00000013, 2.00, 2
13, 0.00000525, 0.00000017, 2.00, 2
14, 0.01321500, 0.00012395, 152.56, 83
15, 0.00333132, 0.00001639, 47.82, 36
16, 0.00000177, 0.00000004, 2.00, 2
17, 0.00605179, 0.00004136, 80.11, 60
18, 0.00000809, 0.00000020, 2.00, 2
