BENCH: shufflenet
layer, droplet-300 exec, droplet-300 std, droplet-300 tuning, droplet-300 trials
0, 0.00000644, 0.00000070, 15.56, 16
1, 0.00009367, 0.00000233, 12.81, 12
2, 0.00009018, 0.00000206, 61.86, 45
3, 0.00001833, 0.00000009, 107.08, 56
4, 0.00000514, 0.00000051, 11.20, 11
5, 0.00002946, 0.00000025, 18.05, 17
6, 0.00001582, 0.00000020, 7.32, 8
7, 0.00002380, 0.00000026, 80.22, 69
8, 0.00001075, 0.00000002, 44.53, 46
9, 0.00007372, 0.00000044, 27.86, 21
10, 0.00000607, 0.00000062, 13.19, 11
11, 0.00008237, 0.00000083, 73.75, 60
12, 0.00001094, 0.00000023, 10.11, 11
13, 0.00004695, 0.00000103, 43.02, 29
14, 0.00000538, 0.00000003, 10.35, 11
15, 0.00021062, 0.00000192, 55.95, 49
16, 0.00002902, 0.00000034, 76.99, 64
17, 0.00000980, 0.00000093, 16.06, 11
18, 0.00001112, 0.00000055, 5.03, 6
19, 0.00000339, 0.00000019, 25.37, 27
