BENCH: resnet101
layer, droplet-300 exec, droplet-300 std, droplet-300 tuning, droplet-300 trials
0, 0.00086460, 0.00001383, 55.45, 38
1, 0.00093330, 0.00000552, 70.39, 45
2, 0.00040589, 0.00000142, 59.25, 45
3, 0.00082024, 0.00001144, 34.63, 22
4, 0.00042953, 0.00002467, 76.59, 55
5, 0.00103453, 0.00000593, 60.41, 36
6, 0.00049350, 0.00000645, 82.31, 47
7, 0.00004785, 0.00000282, 113.39, 62
8, 0.00097845, 0.00000464, 80.86, 44
9, 0.00000454, 0.00000007, 2.00, 2
10, 0.00012369, 0.00000063, 90.51, 59
11, 0.00078425, 0.00000922, 68.82, 62
12, 0.00037161, 0.00000866, 67.40, 45
13, 0.00057216, 0.00001924, 87.32, 47
14, 0.00000734, 0.00000012, 10.57, 12
15, 0.00098663, 0.00013201, 132.47, 39
16, 0.00082997, 0.00004946, 64.52, 47
17, 0.00049066, 0.00004701, 50.58, 44
18, 0.00096989, 0.00006543, 57.84, 44
19, 0.00096195, 0.00002142, 91.68, 39
20, 0.00108939, 0.00023043, 98.05, 36
21, 0.00044104, 0.00001680, 116.02, 56
22, 0.00091003, 0.00011273, 62.58, 53
23, 0.00037959, 0.00000371, 65.25, 56
24, 0.00094417, 0.00001936, 65.26, 43
25, 0.00001835, 0.00000068, 15.00, 16
26, 0.00085743, 0.00001214, 59.78, 43
27, 0.00040800, 0.00001524, 52.99, 52
