BENCH: densenet201
layer, droplet-300 exec, droplet-300 std, droplet-300 tuning, droplet-300 trials
0, 0.00030062, 0.00001664, 39.48, 24
1, 0.00009281, 0.00000882, 58.97, 55
2, 0.00028492, 0.00000017, 86.09, 71
3, 0.00034440, 0.00001314, 53.76, 43
4, 0.00035119, 0.00001153, 71.40, 60
5, 0.00011138, 0.00001282, 51.02, 43
6, 0.00091389, 0.00000872, 38.85, 32
7, 0.00015098, 0.00000523, 85.77, 68
8, 0.00000451, 0.00000012, 2.00, 2
9, 0.00026319, 0.00001234, 80.66, 58
10, 0.00018063, 0.00000071, 53.96, 47
11, 0.00041191, 0.00001655, 45.08, 42
12, 0.00066363, 0.00000982, 64.72, 38
13, 0.00010720, 0.00000054, 58.28, 55
14, 0.00011040, 0.00000840, 48.43, 45
15, 0.00027264, 0.00001911, 54.48, 48
16, 0.00007605, 0.00000707, 64.04, 48
17, 0.00004190, 0.00000436, 100.28, 55
18, 0.00041939, 0.00002496, 65.90, 43
19, 0.00086163, 0.00007323, 33.27, 28
20, 0.00007154, 0.00000040, 54.37, 53
21, 0.00014604, 0.00000026, 68.86, 58
22, 0.00009289, 0.00000054, 68.30, 64
23, 0.00031473, 0.00002132, 84.32, 57
24, 0.00000417, 0.00000003, 2.00, 2
25, 0.00035193, 0.00001038, 55.57, 43
26, 0.00007397, 0.00000024, 67.49, 62
27, 0.00013882, 0.00000500, 93.74, 71
28, 0.00009835, 0.00000273, 69.71, 45
29, 0.00045696, 0.00001304, 98.29, 43
30, 0.00006563, 0.00000070, 90.58, 78
31, 0.00011851, 0.00000023, 60.37, 45
32, 0.00008794, 0.00000870, 81.69, 55
33, 0.00034563, 0.00002043, 71.33, 49
34, 0.00023441, 0.00000828, 58.85, 39
35, 0.00025409, 0.00000095, 67.46, 47
36, 0.00005958, 0.00000316, 58.64, 49
37, 0.00074505, 0.00001149, 46.65, 38
38, 0.00035721, 0.00000220, 45.86, 38
39, 0.00006691, 0.00000298, 73.41, 71
40, 0.00021625, 0.00001608, 53.95, 49
41, 0.00006649, 0.00000584, 64.77, 58
42, 0.00000467, 0.00000017, 2.00, 2
43, 0.00038068, 0.00000057, 55.40, 45
44, 0.00009357, 0.00000511, 49.62, 45
45, 0.00037154, 0.00001860, 64.60, 57
46, 0.00017717, 0.00001285, 81.38, 62
47, 0.00026101, 0.00000351, 58.42, 53
48, 0.00001092, 0.00000028, 59.15, 60
49, 0.00011290, 0.00000165, 76.81, 62
50, 0.00032941, 0.00001598, 72.92, 64
51, 0.00006661, 0.00000007, 59.04, 57
52, 0.00015849, 0.00000861, 69.46, 55
53, 0.00042109, 0.00000244, 47.02, 38
54, 0.00005795, 0.00000056, 48.26, 43
55, 0.00011103, 0.00000039, 25.49, 26
56, 0.00037254, 0.00000130, 56.95, 43
57, 0.00014266, 0.00000018, 60.28, 49
58, 0.00029476, 0.00000195, 43.91, 35
59, 0.00032337, 0.00000582, 58.34, 43
60, 0.00009751, 0.00000492, 45.87, 43
61, 0.00009867, 0.00000015, 74.53, 49
62, 0.00027360, 0.00000945, 35.78, 35
63, 0.00263747, 0.00025181, 57.60, 45
64, 0.00025257, 0.00002282, 58.47, 38
65, 0.00034115, 0.00001549, 49.86, 43
66, 0.00007161, 0.00000212, 53.83, 51
67, 0.00014473, 0.00001287, 95.54, 60
68, 0.00012565, 0.00000881, 65.09, 60
69, 0.00012153, 0.00000129, 88.73, 62
70, 0.00027822, 0.00000582, 18.81, 19
71, 0.00042721, 0.00000267, 43.21, 38
72, 0.00010824, 0.00000018, 21.06, 22
73, 0.00011354, 0.00000062, 51.72, 48
74, 0.00024678, 0.00000933, 101.11, 75
75, 0.00037918, 0.00000196, 72.84, 62
76, 0.00000779, 0.00000017, 2.00, 2
77, 0.00016340, 0.00004296, 69.74, 43
78, 0.00007896, 0.00000159, 49.55, 48
79, 0.00087226, 0.00007543, 67.37, 43
80, 0.00012483, 0.00000018, 59.97, 52
81, 0.00023725, 0.00000042, 108.68, 71
82, 0.00008771, 0.00000736, 49.55, 48
83, 0.00036419, 0.00000166, 59.63, 43
84, 0.00008016, 0.00000007, 47.14, 43
85, 0.00008501, 0.00000041, 62.54, 56
86, 0.00009114, 0.00000482, 50.12, 39
87, 0.00021660, 0.00000073, 63.02, 56
88, 0.00007644, 0.00000062, 77.65, 67
89, 0.00033312, 0.00000424, 24.22, 24
90, 0.00010296, 0.00000948, 50.12, 45
91, 0.00014677, 0.00000856, 71.69, 56
92, 0.00022077, 0.00000067, 74.57, 58
93, 0.00081304, 0.00000856, 62.39, 43
94, 0.00010691, 0.00000044, 49.61, 43
95, 0.00041026, 0.00000942, 49.43, 43
96, 0.00009262, 0.00000346, 48.85, 48
97, 0.00043314, 0.00001105, 49.24, 43
98, 0.00001809, 0.00000031, 10.97, 12
99, 0.00030819, 0.00000341, 81.43, 60
100, 0.00017357, 0.00000192, 53.80, 49
101, 0.00064053, 0.00000320, 53.52, 43
102, 0.00011661, 0.00000960, 63.24, 56
103, 0.00017775, 0.00000989, 77.37, 66
104, 0.00035948, 0.00000171, 62.52, 43
105, 0.00037390, 0.00005577, 43.86, 38
106, 0.00006599, 0.00000559, 52.03, 47
107, 0.00009557, 0.00000824, 76.63, 60
108, 0.00033398, 0.00000332, 71.79, 56
109, 0.00017515, 0.00000870, 77.13, 62
110, 0.00014910, 0.00000060, 78.67, 70
111, 0.00002183, 0.00000035, 64.67, 48
112, 0.00035991, 0.00001752, 57.04, 53
