BENCH: alexnet
layer, droplet-300 exec, droplet-300 std, droplet-300 tuning, droplet-300 trials
0, 0.00060897, 0.00000478, 44.75, 23
1, 0.00000335, 0.00000004, 5.79, 7
2, 0.00184977, 0.00018524, 60.58, 38
3, 0.00007437, 0.00000208, 76.02, 37
4, 0.00001100, 0.00000009, 26.18, 28
5, 0.00088240, 0.00010049, 58.67, 44
6, 0.00000594, 0.00000007, 5.73, 7
7, 0.00420463, 0.00000202, 102.18, 45
8, 0.00130165, 0.00006509, 55.15, 44
9, 0.00000090, 0.00000001, 2.00, 2
10, 0.00000780, 0.00000091, 15.43, 13
11, 0.00092813, 0.00021995, 54.43, 44
12, 0.00164917, 0.00002406, 75.31, 34
