BENCH: resnet34
layer, droplet-300 exec, droplet-300 std, droplet-300 tuning, droplet-300 trials
0, 0.00005383, 0.00000331, 77.25, 67
1, 0.00095610, 0.00008706, 34.24, 22
2, 0.00096280, 0.00022622, 51.60, 36
3, 0.00001129, 0.00000014, 101.23, 55
4, 0.00000289, 0.00000014, 2.00, 2
5, 0.00082437, 0.00002980, 49.14, 39
6, 0.00091351, 0.00018084, 63.00, 39
7, 0.00069910, 0.00000745, 60.85, 39
8, 0.00005675, 0.00000053, 92.32, 72
9, 0.00005656, 0.00000067, 74.17, 57
10, 0.00000934, 0.00000024, 44.62, 47
11, 0.00054922, 0.00001290, 93.15, 47
12, 0.00084130, 0.00001829, 54.69, 51
13, 0.00095867, 0.00021659, 139.39, 39
14, 0.00091034, 0.00021713, 58.65, 36
15, 0.00098509, 0.00002215, 59.71, 51
16, 0.00001788, 0.00000072, 25.82, 27
17, 0.00054315, 0.00000629, 41.73, 34
18, 0.00097575, 0.00017427, 106.08, 39
