BENCH: densenet169
layer, droplet-300 exec, droplet-300 std, droplet-300 tuning, droplet-300 trials
0, 0.00024693, 0.00000354, 74.09, 58
1, 0.00025131, 0.00000473, 47.01, 38
2, 0.00028089, 0.00000130, 75.26, 43
3, 0.00009296, 0.00000045, 56.19, 49
4, 0.00010339, 0.00000103, 50.82, 45
5, 0.00022794, 0.00000837, 80.87, 59
6, 0.00109395, 0.00002677, 30.70, 22
7, 0.00018103, 0.00000145, 27.42, 28
8, 0.00000400, 0.00000009, 2.00, 2
9, 0.00023480, 0.00000850, 83.08, 62
10, 0.00006270, 0.00000055, 65.78, 60
11, 0.00064271, 0.00010277, 63.50, 43
12, 0.00006701, 0.00000251, 90.32, 66
13, 0.00011028, 0.00000078, 90.62, 70
14, 0.00024987, 0.00000081, 77.72, 58
15, 0.00004166, 0.00000250, 109.07, 56
16, 0.00005611, 0.00000074, 63.42, 58
17, 0.00088022, 0.00002057, 49.53, 36
18, 0.00009457, 0.00000161, 42.44, 43
19, 0.00010750, 0.00001350, 66.25, 56
20, 0.00018883, 0.00000531, 53.11, 45
21, 0.00000402, 0.00000008, 2.00, 2
22, 0.00006051, 0.00000052, 107.47, 69
23, 0.00009442, 0.00000298, 66.16, 52
24, 0.00009282, 0.00000705, 70.49, 56
25, 0.00022328, 0.00001799, 78.21, 43
26, 0.00007317, 0.00000345, 58.74, 55
27, 0.00008496, 0.00000153, 69.40, 55
28, 0.00025569, 0.00000172, 39.29, 31
29, 0.00007173, 0.00000093, 54.55, 49
30, 0.00020519, 0.00000984, 45.67, 45
31, 0.00005599, 0.00000040, 55.57, 56
32, 0.00013787, 0.00000118, 21.36, 22
33, 0.00068200, 0.00002891, 44.59, 38
34, 0.00006659, 0.00000634, 80.21, 62
35, 0.00017927, 0.00000396, 80.72, 68
36, 0.00000464, 0.00000008, 2.00, 2
37, 0.00009173, 0.00000061, 68.16, 55
38, 0.00004655, 0.00000024, 64.71, 60
39, 0.00049386, 0.00000500, 49.92, 42
40, 0.00016062, 0.00000399, 61.80, 57
41, 0.00004123, 0.00000039, 51.91, 45
42, 0.00008291, 0.00000703, 67.10, 60
43, 0.00000799, 0.00000008, 21.44, 23
44, 0.00033635, 0.00000688, 50.22, 43
45, 0.00015436, 0.00001425, 63.72, 51
46, 0.00033878, 0.00002877, 73.58, 59
47, 0.00008797, 0.00000043, 81.31, 62
48, 0.00028968, 0.00000988, 63.10, 49
49, 0.00015531, 0.00000042, 24.13, 24
50, 0.00025846, 0.00000347, 59.80, 49
51, 0.00007493, 0.00000166, 72.99, 55
52, 0.00011652, 0.00000088, 60.58, 58
53, 0.00021980, 0.00000413, 70.90, 49
54, 0.00012566, 0.00000325, 27.26, 28
55, 0.00019196, 0.00000385, 148.10, 57
56, 0.00024018, 0.00000059, 54.14, 45
57, 0.00007847, 0.00000238, 58.70, 51
58, 0.00011860, 0.00000308, 73.24, 63
59, 0.00130239, 0.00003842, 47.45, 45
60, 0.00010798, 0.00000344, 78.55, 68
61, 0.00021305, 0.00000453, 51.77, 49
62, 0.00007695, 0.00000532, 72.70, 60
63, 0.00018240, 0.00000032, 41.23, 42
64, 0.00026559, 0.00000048, 76.34, 62
65, 0.00039837, 0.00001022, 67.84, 43
66, 0.00000770, 0.00000021, 2.00, 2
67, 0.00014144, 0.00000400, 67.06, 49
68, 0.00010070, 0.00000633, 59.89, 56
69, 0.00091057, 0.00006188, 53.09, 45
70, 0.00011380, 0.00000646, 24.10, 25
71, 0.00024907, 0.00002147, 64.96, 57
72, 0.00006565, 0.00000619, 91.75, 58
73, 0.00009557, 0.00000960, 102.92, 72
74, 0.00008841, 0.00000491, 19.95, 21
75, 0.00023718, 0.00000685, 58.11, 49
76, 0.00005350, 0.00000043, 57.11, 57
77, 0.00008440, 0.00000044, 20.59, 21
78, 0.00014743, 0.00000396, 70.69, 64
79, 0.00018069, 0.00001420, 81.54, 66
80, 0.00079903, 0.00001802, 27.28, 27
81, 0.00005247, 0.00000246, 60.43, 53
82, 0.00006412, 0.00000070, 54.78, 49
83, 0.00041966, 0.00000729, 53.73, 38
84, 0.00001867, 0.00000068, 22.91, 24
85, 0.00020320, 0.00000143, 54.45, 49
86, 0.00005036, 0.00000041, 59.52, 57
87, 0.00057406, 0.00000748, 60.31, 38
88, 0.00036330, 0.00004346, 53.59, 45
89, 0.00018296, 0.00000186, 72.48, 56
90, 0.00024093, 0.00001525, 66.23, 60
91, 0.00008265, 0.00000366, 52.14, 47
92, 0.00028045, 0.00000152, 76.67, 52
93, 0.00021200, 0.00000268, 36.91, 36
94, 0.00015209, 0.00000151, 67.10, 55
95, 0.00002169, 0.00000045, 58.87, 48
96, 0.00008527, 0.00000033, 55.45, 52
