BENCH: resnet152
layer, droplet-300 exec, droplet-300 std, droplet-300 tuning, droplet-300 trials
0, 0.00071699, 0.00005103, 53.29, 45
1, 0.00088268, 0.00002315, 38.81, 39
2, 0.00041787, 0.00002858, 63.35, 45
3, 0.00091819, 0.00001473, 32.49, 22
4, 0.00049392, 0.00005043, 57.15, 56
5, 0.00093515, 0.00001097, 43.32, 36
6, 0.00047098, 0.00001388, 83.99, 56
7, 0.00004695, 0.00000004, 108.65, 59
8, 0.00094580, 0.00002589, 51.84, 36
9, 0.00000463, 0.00000008, 2.00, 2
10, 0.00010884, 0.00000109, 92.21, 67
11, 0.00093143, 0.00002112, 61.22, 45
12, 0.00041698, 0.00003342, 62.29, 59
13, 0.00046255, 0.00000049, 69.59, 55
14, 0.00000928, 0.00000011, 44.94, 46
15, 0.00103558, 0.00023060, 66.28, 51
16, 0.00077908, 0.00002876, 49.87, 47
17, 0.00042081, 0.00002835, 63.78, 47
18, 0.00105189, 0.00009835, 59.48, 44
19, 0.00089488, 0.00003920, 120.86, 39
20, 0.00092009, 0.00001217, 45.79, 36
21, 0.00043921, 0.00001164, 45.05, 38
22, 0.00102745, 0.00030589, 42.95, 34
23, 0.00046185, 0.00002301, 39.70, 40
24, 0.00089413, 0.00001259, 69.26, 43
25, 0.00001836, 0.00000082, 9.93, 11
26, 0.00084668, 0.00004755, 63.65, 43
27, 0.00040359, 0.00000644, 62.73, 52
