BENCH: inception_v3
layer, droplet-300 exec, droplet-300 std, droplet-300 tuning, droplet-300 trials
0, 0.00008551, 0.00000587, 56.10, 49
1, 0.00004956, 0.00000057, 65.29, 64
2, 0.00011750, 0.00000390, 11.91, 10
3, 0.00001559, 0.00000177, 13.54, 15
4, 0.00031219, 0.00000153, 48.96, 43
5, 0.00007294, 0.00000314, 60.76, 56
6, 0.00021404, 0.00000947, 49.87, 38
7, 0.00000681, 0.00000054, 9.61, 11
8, 0.00004224, 0.00000504, 107.42, 56
9, 0.00018509, 0.00000145, 82.13, 68
10, 0.00023493, 0.00001074, 52.43, 49
11, 0.00000337, 0.00000012, 2.00, 2
12, 0.00019476, 0.00000624, 67.62, 56
13, 0.00079114, 0.00000875, 43.77, 35
14, 0.00000798, 0.00000037, 9.51, 10
15, 0.00024355, 0.00002533, 80.32, 58
16, 0.00007235, 0.00000233, 79.79, 60
17, 0.00005763, 0.00000066, 63.03, 57
18, 0.00016114, 0.00001101, 67.05, 58
19, 0.00013954, 0.00000070, 45.69, 43
20, 0.00004550, 0.00000044, 8.94, 10
21, 0.00023240, 0.00000107, 73.89, 58
22, 0.00011222, 0.00000042, 64.75, 53
23, 0.00001693, 0.00000051, 14.60, 16
24, 0.00000750, 0.00000012, 27.09, 29
25, 0.00009520, 0.00000131, 60.12, 57
26, 0.00129097, 0.00002369, 47.10, 36
27, 0.00163295, 0.00002654, 65.84, 35
28, 0.00010169, 0.00000033, 68.73, 60
29, 0.00013188, 0.00000448, 57.21, 44
30, 0.00000596, 0.00000007, 9.80, 11
31, 0.00034654, 0.00000619, 42.37, 29
32, 0.00009996, 0.00000068, 49.77, 47
33, 0.00034138, 0.00000456, 56.44, 43
34, 0.00021962, 0.00000151, 63.92, 49
35, 0.00009172, 0.00000016, 53.61, 51
36, 0.00017166, 0.00000215, 85.94, 73
37, 0.00001195, 0.00000071, 15.52, 17
38, 0.00023082, 0.00000287, 70.49, 49
39, 0.00019535, 0.00000569, 57.77, 50
40, 0.00018605, 0.00001411, 71.93, 68
41, 0.00011889, 0.00000128, 50.81, 43
42, 0.00016575, 0.00001227, 76.34, 68
43, 0.00025477, 0.00000174, 72.60, 53
44, 0.00001095, 0.00000066, 11.76, 13
45, 0.00030918, 0.00000294, 36.01, 32
46, 0.00000443, 0.00000005, 9.75, 10
47, 0.00012938, 0.00000542, 36.71, 35
48, 0.00001871, 0.00000131, 22.38, 13
49, 0.00272385, 0.00011190, 46.75, 36
50, 0.00012449, 0.00000092, 66.36, 58
51, 0.00014504, 0.00000062, 44.72, 42
52, 0.00013370, 0.00000153, 54.44, 49
53, 0.00010574, 0.00000094, 111.98, 78
54, 0.00014352, 0.00000145, 36.15, 33
55, 0.00043975, 0.00002736, 51.44, 36
