BENCH: googlenet
layer, droplet-300 exec, droplet-300 std, droplet-300 tuning, droplet-300 trials
0, 0.00018326, 0.00001227, 56.66, 38
1, 0.00002515, 0.00000016, 54.33, 49
2, 0.00001594, 0.00000140, 9.84, 10
3, 0.00098904, 0.00003076, 28.59, 21
4, 0.00135416, 0.00002688, 54.02, 36
5, 0.00022823, 0.00000166, 16.91, 18
6, 0.00007780, 0.00000036, 71.02, 66
7, 0.00067949, 0.00004296, 48.36, 36
8, 0.00015090, 0.00001057, 66.38, 60
9, 0.00004828, 0.00000107, 59.95, 58
10, 0.00002347, 0.00000005, 101.65, 55
11, 0.00001606, 0.00000051, 10.59, 11
12, 0.00004253, 0.00000053, 28.48, 20
13, 0.00001700, 0.00000038, 49.33, 49
14, 0.00000305, 0.00000006, 2.00, 2
15, 0.00000689, 0.00000064, 5.22, 6
16, 0.00035274, 0.00000485, 61.64, 37
17, 0.00010170, 0.00000279, 57.31, 47
18, 0.00015160, 0.00000650, 64.81, 60
19, 0.00009465, 0.00000010, 65.19, 58
20, 0.00001092, 0.00000068, 24.91, 23
21, 0.00002966, 0.00000065, 76.31, 67
22, 0.00005375, 0.00000038, 59.44, 57
23, 0.00007216, 0.00000042, 46.77, 37
24, 0.00002446, 0.00000027, 61.74, 58
25, 0.00069613, 0.00004302, 55.00, 44
26, 0.00002065, 0.00000050, 26.51, 26
27, 0.00000723, 0.00000009, 51.76, 52
28, 0.00007946, 0.00000043, 52.47, 45
29, 0.00023473, 0.00001313, 54.90, 45
30, 0.00254492, 0.00001839, 54.88, 36
31, 0.00000453, 0.00000030, 2.00, 2
32, 0.00003749, 0.00000087, 77.19, 66
33, 0.00012201, 0.00000053, 56.42, 49
34, 0.00003159, 0.00000073, 69.56, 52
35, 0.00004833, 0.00000124, 41.40, 28
36, 0.00005927, 0.00000335, 72.24, 51
37, 0.00057556, 0.00001709, 46.23, 37
38, 0.00025579, 0.00000254, 65.71, 52
39, 0.00001444, 0.00000033, 6.97, 8
40, 0.00012502, 0.00000609, 78.39, 67
41, 0.00046023, 0.00004703, 61.42, 44
42, 0.00002179, 0.00000114, 48.85, 39
43, 0.00008952, 0.00000647, 54.63, 51
44, 0.00005982, 0.00000038, 76.43, 51
45, 0.00003192, 0.00000348, 58.95, 47
46, 0.00018747, 0.00000224, 58.35, 48
47, 0.00015192, 0.00000131, 48.72, 43
48, 0.00001312, 0.00000069, 16.03, 13
49, 0.00005494, 0.00000132, 83.68, 70
50, 0.00005351, 0.00000058, 63.88, 56
51, 0.00012808, 0.00003138, 68.73, 61
52, 0.00002803, 0.00000055, 29.80, 28
53, 0.00006658, 0.00001381, 25.56, 25
54, 0.00002081, 0.00000048, 31.91, 21
55, 0.00013381, 0.00000106, 87.87, 58
56, 0.00004595, 0.00000112, 20.66, 21
57, 0.00026126, 0.00000825, 62.13, 50
58, 0.00016229, 0.00000519, 52.59, 45
59, 0.00004109, 0.00000043, 52.04, 38
60, 0.00021177, 0.00000069, 86.32, 68
61, 0.00016570, 0.00000136, 68.60, 45
