BENCH: vgg11
layer, droplet-300 exec, droplet-300 std, droplet-300 tuning, droplet-300 trials
0, 0.00000750, 0.00000077, 2.00, 2
1, 0.00079188, 0.00001667, 35.19, 32
2, 0.01450043, 0.00002782, 203.53, 51
3, 0.00009767, 0.00000928, 67.33, 37
4, 0.00001386, 0.00000036, 2.00, 2
5, 0.00635086, 0.00000993, 97.87, 47
6, 0.00345552, 0.00003305, 44.76, 35
7, 0.00163855, 0.00000793, 115.01, 59
8, 0.00000791, 0.00000019, 63.00, 66
9, 0.00714733, 0.00002040, 64.87, 34
10, 0.01149207, 0.00001303, 210.38, 59
11, 0.00002674, 0.00000023, 2.00, 2
12, 0.00000483, 0.00000067, 2.00, 2
13, 0.01418733, 0.00005268, 62.45, 40
14, 0.00000180, 0.00000002, 2.00, 2
15, 0.00746909, 0.00000684, 72.54, 39
16, 0.00005877, 0.00000512, 2.00, 2
