BENCH: densenet121
layer, droplet-300 exec, droplet-300 std, droplet-300 tuning, droplet-300 trials
0, 0.00022934, 0.00000249, 69.08, 56
1, 0.00005204, 0.00000449, 78.04, 58
2, 0.00021688, 0.00000646, 55.89, 51
3, 0.00088383, 0.00006489, 43.16, 22
4, 0.00014090, 0.00000156, 48.75, 43
5, 0.00000377, 0.00000012, 2.00, 2
6, 0.00004071, 0.00000019, 77.02, 62
7, 0.00075717, 0.00003260, 29.87, 30
8, 0.00005996, 0.00000357, 56.27, 44
9, 0.00012767, 0.00000283, 84.11, 62
10, 0.00005079, 0.00000036, 19.78, 21
11, 0.00002313, 0.00000013, 96.97, 55
12, 0.00089165, 0.00001025, 49.72, 36
13, 0.00010103, 0.00000072, 59.45, 57
14, 0.00020191, 0.00000962, 68.21, 45
15, 0.00000313, 0.00000005, 2.00, 2
16, 0.00016002, 0.00000968, 56.84, 36
17, 0.00021456, 0.00000808, 71.25, 49
18, 0.00006786, 0.00000025, 60.15, 56
19, 0.00021895, 0.00000037, 62.58, 55
20, 0.00007303, 0.00000059, 82.60, 65
21, 0.00017216, 0.00000390, 65.92, 56
22, 0.00006074, 0.00000017, 58.50, 56
23, 0.00068208, 0.00000581, 55.45, 43
24, 0.00007564, 0.00000010, 70.70, 60
25, 0.00017820, 0.00000127, 51.35, 49
26, 0.00000493, 0.00000013, 2.00, 2
27, 0.00007921, 0.00000101, 18.39, 19
28, 0.00032287, 0.00000059, 58.03, 49
29, 0.00016321, 0.00001067, 74.34, 66
30, 0.00006149, 0.00000247, 60.65, 57
31, 0.00001173, 0.00000019, 62.39, 64
32, 0.00028231, 0.00000304, 55.66, 45
33, 0.00013411, 0.00000274, 56.21, 45
34, 0.00034138, 0.00002083, 53.90, 43
35, 0.00026256, 0.00000879, 62.55, 49
36, 0.00020874, 0.00005534, 65.81, 43
37, 0.00004648, 0.00000250, 70.11, 65
38, 0.00015225, 0.00000817, 46.97, 43
39, 0.00039195, 0.00001970, 27.61, 28
40, 0.00015289, 0.00001157, 71.59, 62
41, 0.00004837, 0.00000511, 78.73, 51
42, 0.00094146, 0.00000491, 75.66, 43
43, 0.00013678, 0.00000786, 23.25, 24
44, 0.00003933, 0.00000041, 73.18, 62
45, 0.00013831, 0.00000154, 20.30, 20
46, 0.00023872, 0.00003542, 67.04, 58
47, 0.00039299, 0.00001954, 53.09, 43
48, 0.00000723, 0.00000008, 2.00, 2
49, 0.00085432, 0.00008832, 41.86, 39
50, 0.00011652, 0.00000191, 77.41, 58
51, 0.00021163, 0.00002982, 77.61, 60
52, 0.00007437, 0.00000565, 56.31, 49
53, 0.00008535, 0.00000049, 24.36, 24
54, 0.00014324, 0.00000365, 56.90, 55
55, 0.00006895, 0.00000601, 79.69, 60
56, 0.00020821, 0.00000640, 27.32, 28
57, 0.00074253, 0.00008923, 55.62, 43
58, 0.00018944, 0.00000062, 85.71, 60
59, 0.00005209, 0.00000052, 57.54, 49
60, 0.00038792, 0.00001297, 56.14, 43
61, 0.00001865, 0.00000050, 9.97, 11
62, 0.00017780, 0.00001759, 70.71, 64
63, 0.00004491, 0.00000044, 69.83, 66
64, 0.00055086, 0.00010099, 44.35, 38
65, 0.00042647, 0.00000607, 47.94, 42
66, 0.00013627, 0.00000340, 73.78, 64
67, 0.00005970, 0.00000052, 20.38, 21
68, 0.00031178, 0.00000295, 50.86, 43
69, 0.00015784, 0.00000405, 81.49, 49
70, 0.00016050, 0.00002298, 51.28, 45
71, 0.00002196, 0.00000129, 71.65, 59
72, 0.00004919, 0.00000043, 44.43, 43
