BENCH: squeezenet
layer, droplet-300 exec, droplet-300 std, droplet-300 tuning, droplet-300 trials
0, 0.00004937, 0.00000198, 16.80, 18
1, 0.00001700, 0.00000042, 47.58, 43
2, 0.00019782, 0.00001129, 11.63, 11
3, 0.00002960, 0.00000043, 54.43, 53
4, 0.00000663, 0.00000013, 4.84, 6
5, 0.00004191, 0.00000056, 38.27, 37
6, 0.00000592, 0.00000048, 2.00, 2
7, 0.00004221, 0.00000016, 58.82, 43
8, 0.00076528, 0.00005122, 18.43, 19
9, 0.00020392, 0.00000733, 58.96, 44
10, 0.00003682, 0.00000301, 28.93, 30
11, 0.00004366, 0.00000170, 72.26, 60
12, 0.00014389, 0.00000052, 49.38, 38
13, 0.00000607, 0.00000013, 40.26, 42
14, 0.00020632, 0.00000215, 25.97, 20
15, 0.00001074, 0.00000074, 8.73, 10
16, 0.00006367, 0.00000044, 62.56, 60
17, 0.00026942, 0.00003937, 61.17, 38
18, 0.00001818, 0.00000013, 8.79, 10
19, 0.00006258, 0.00000027, 30.07, 31
20, 0.00006106, 0.00000170, 64.68, 60
21, 0.00003171, 0.00000111, 35.67, 35
22, 0.00002568, 0.00000057, 48.92, 43
