BENCH: resnet50
layer, droplet-300 exec, droplet-300 std, droplet-300 tuning, droplet-300 trials
0, 0.00072921, 0.00001044, 79.93, 62
1, 0.00088676, 0.00001281, 52.78, 45
2, 0.00045306, 0.00000672, 60.12, 45
3, 0.00089413, 0.00001108, 36.49, 21
4, 0.00043608, 0.00000332, 63.44, 55
5, 0.00088785, 0.00000913, 75.46, 50
6, 0.00045148, 0.00000292, 41.29, 39
7, 0.00005266, 0.00000672, 61.80, 37
8, 0.00089340, 0.00002826, 60.77, 36
9, 0.00000519, 0.00000007, 2.00, 2
10, 0.00011651, 0.00000075, 65.11, 48
11, 0.00076191, 0.00005014, 68.19, 45
12, 0.00038800, 0.00002413, 64.84, 56
13, 0.00045942, 0.00000237, 58.09, 44
14, 0.00000943, 0.00000214, 66.60, 69
15, 0.00083382, 0.00002182, 50.85, 34
16, 0.00072348, 0.00000568, 71.50, 46
17, 0.00051787, 0.00000888, 47.39, 44
18, 0.00097510, 0.00011290, 48.45, 36
19, 0.00080313, 0.00002146, 67.55, 39
20, 0.00087461, 0.00001239, 56.04, 36
21, 0.00042711, 0.00003860, 56.28, 45
22, 0.00080940, 0.00004151, 49.37, 34
23, 0.00038990, 0.00001072, 61.69, 55
24, 0.00076835, 0.00007287, 54.40, 45
25, 0.00002258, 0.00000019, 2.00, 2
26, 0.00077955, 0.00005252, 52.33, 43
27, 0.00045758, 0.00007625, 71.20, 50
