BENCH: mnasnet1_0
layer, droplet-300 exec, droplet-300 std, droplet-300 tuning, droplet-300 trials
0, 0.00003624, 0.00000043, 52.95, 43
1, 0.00008669, 0.00000398, 13.82, 12
2, 0.00003207, 0.00000035, 88.08, 71
3, 0.00005897, 0.00000051, 74.06, 56
4, 0.00019964, 0.00001653, 73.49, 68
5, 0.00002766, 0.00000007, 76.55, 48
6, 0.00001938, 0.00000031, 20.65, 18
7, 0.00002513, 0.00000041, 18.14, 16
8, 0.00002416, 0.00000015, 56.86, 49
9, 0.00009015, 0.00000433, 26.39, 26
10, 0.00001618, 0.00000055, 26.20, 17
11, 0.00007578, 0.00000078, 57.48, 49
12, 0.00005726, 0.00000084, 52.87, 45
13, 0.00014765, 0.00000231, 51.96, 43
14, 0.00002368, 0.00000043, 20.19, 17
15, 0.00006085, 0.00000286, 53.11, 45
16, 0.00000902, 0.00000198, 65.74, 68
17, 0.00004883, 0.00000036, 52.83, 45
18, 0.00003408, 0.00000064, 69.72, 65
19, 0.00007746, 0.00000025, 12.56, 13
20, 0.00001757, 0.00000015, 24.00, 22
21, 0.00001605, 0.00000120, 19.89, 15
22, 0.00009079, 0.00000242, 71.21, 66
23, 0.00006530, 0.00000404, 54.52, 49
24, 0.00002365, 0.00000048, 27.52, 19
25, 0.00007779, 0.00000048, 59.42, 58
26, 0.00003359, 0.00000030, 37.56, 37
27, 0.00015671, 0.00000412, 56.07, 49
28, 0.00001099, 0.00000078, 12.74, 11
29, 0.00002354, 0.00000042, 20.50, 18
30, 0.00006570, 0.00000103, 56.34, 45
31, 0.00004733, 0.00000052, 70.40, 67
32, 0.00002559, 0.00000262, 10.50, 11
33, 0.00010062, 0.00000132, 61.31, 49
34, 0.00000351, 0.00000009, 23.38, 25
35, 0.00001723, 0.00000115, 16.63, 15
