BENCH: mnasnet1_0
layer, grid-300 exec, grid-300 std, grid-300 tuning, grid-300 trials
0, 0.00012735, 0.00000013, 99.27, 100
1, 0.00026882, 0.00000142, 105.66, 100
2, 0.00010744, 0.00000022, 100.13, 100
3, 0.00024949, 0.00001279, 101.21, 100
4, 0.00070699, 0.00002015, 103.43, 100
5, 0.00009125, 0.00000027, 184.94, 100
6, 0.00007542, 0.00000043, 114.95, 100
7, 0.00007178, 0.00000036, 113.10, 100
8, 0.00006580, 0.00000033, 98.59, 100
9, 0.00013047, 0.00000326, 102.75, 100
10, 0.00008365, 0.00000036, 112.54, 100
11, 0.00034123, 0.00003020, 103.92, 100
12, 0.00025537, 0.00000435, 102.49, 100
13, 0.00038524, 0.00002016, 104.57, 100
14, 0.00018571, 0.00001451, 116.19, 100
15, 0.00018941, 0.00000836, 100.32, 100
16, 0.00000875, 0.00000106, 99.50, 100
17, 0.00015444, 0.00000275, 100.86, 100
18, 0.00011430, 0.00000510, 99.36, 100
19, 0.00026807, 0.00004957, 105.24, 100
20, 0.00005770, 0.00000470, 125.83, 100
21, 0.00006465, 0.00000505, 114.42, 100
22, 0.00038933, 0.00000576, 102.45, 100
23, 0.00019897, 0.00000327, 101.05, 100
24, 0.00011206, 0.00000270, 116.30, 100
25, 0.00027704, 0.00000840, 99.66, 100
26, 0.00011052, 0.00000418, 100.32, 100
27, 0.00065521, 0.00006531, 104.29, 100
28, 0.00006415, 0.00000082, 110.05, 100
29, 0.00015920, 0.00000204, 115.49, 100
30, 0.00023606, 0.00000429, 101.15, 100
31, 0.00016792, 0.00000126, 99.91, 100
32, 0.00014359, 0.00000715, 112.76, 100
33, 0.00032702, 0.00001935, 101.86, 100
34, 0.00000393, 0.00000046, 98.40, 100
35, 0.00006686, 0.00000402, 110.75, 100
