BENCH: resnet34
layer, grid-300 exec, grid-300 std, grid-300 tuning, grid-300 trials
0, 0.00042945, 0.00000428, 99.28, 100
1, 0.00620466, 0.00010644, 118.24, 100
2, 0.01164547, 0.00004202, 128.79, 100
3, 0.00002277, 0.00000084, 185.10, 100
4, 0.00000354, 0.00000037, 3.96, 4
5, 0.00707737, 0.00001450, 117.96, 100
6, 0.01202510, 0.00004585, 130.57, 100
7, 0.00529922, 0.00003175, 115.73, 100
8, 0.00043110, 0.00000280, 99.43, 100
9, 0.00025132, 0.00000171, 99.27, 100
10, 0.00001263, 0.00000079, 98.18, 100
11, 0.00400164, 0.00003544, 112.11, 100
12, 0.00760110, 0.00002250, 118.64, 100
13, 0.02008193, 0.00039385, 251.70, 100
14, 0.01195377, 0.00002837, 132.04, 100
15, 0.01220297, 0.00010424, 126.90, 100
16, 0.00001781, 0.00000045, 64.08, 64
17, 0.00486972, 0.00003861, 113.17, 100
18, 0.02059227, 0.00048686, 208.30, 100
