BENCH: vgg11
layer, grid-300 exec, grid-300 std, grid-300 tuning, grid-300 trials
0, 0.00000681, 0.00000067, 4.06, 4
1, 0.00271488, 0.00000255, 111.26, 100
2, 0.25340200, 0.00182886, 869.63, 100
3, 0.00033981, 0.00005057, 187.59, 100
4, 0.00001330, 0.00000060, 4.24, 4
5, 0.06072767, 0.00055356, 213.19, 100
6, 0.05584490, 0.00028143, 542.87, 100
7, 0.01013640, 0.00001754, 173.30, 100
8, 0.00001170, 0.00000272, 98.91, 100
9, 0.11995233, 0.00258993, 374.21, 100
10, 0.06074297, 0.00002931, 335.10, 100
11, 0.00004940, 0.00000112, 4.52, 4
12, 0.00000503, 0.00000092, 4.07, 4
13, 0.18462900, 0.00230863, 967.18, 100
14, 0.00000180, 0.00000004, 3.85, 4
15, 0.12922600, 0.00210362, 925.90, 100
16, 0.00007824, 0.00000445, 4.44, 4
