BENCH: vgg13
layer, grid-300 exec, grid-300 std, grid-300 tuning, grid-300 trials
0, 0.00243782, 0.00002824, 114.79, 100
1, 0.00007850, 0.00000085, 4.48, 4
2, 0.21572433, 0.00142578, 630.80, 100
3, 0.00033963, 0.00007386, 184.29, 100
4, 0.00001288, 0.00000075, 4.26, 4
5, 0.09586353, 0.00014810, 232.98, 100
6, 0.11843900, 0.00056951, 454.72, 100
7, 0.01001105, 0.00003350, 173.27, 100
8, 0.00000865, 0.00000100, 98.44, 100
9, 0.06945493, 0.00206202, 203.66, 100
10, 0.06054050, 0.00002876, 329.68, 100
11, 0.24988300, 0.00435037, 863.85, 100
12, 0.00004308, 0.00000310, 4.67, 4
13, 0.00000572, 0.00000054, 3.80, 4
14, 0.14272567, 0.00185044, 354.90, 100
15, 0.05965003, 0.00011302, 517.70, 100
16, 0.00000178, 0.00000005, 3.89, 4
17, 0.10137150, 0.00171212, 337.77, 100
18, 0.00000688, 0.00000064, 4.02, 4
