BENCH: vgg16
layer, grid-300 exec, grid-300 std, grid-300 tuning, grid-300 trials
0, 0.00000696, 0.00000073, 4.07, 4
1, 0.00207867, 0.00002188, 114.18, 100
2, 0.00000176, 0.00000005, 3.86, 4
3, 0.20921533, 0.00243697, 993.86, 100
4, 0.00050883, 0.00006918, 187.88, 100
5, 0.00001533, 0.00000123, 4.35, 4
6, 0.11373367, 0.00111964, 251.15, 100
7, 0.00008684, 0.00002315, 4.43, 4
8, 0.11732933, 0.00195209, 921.97, 100
9, 0.00982483, 0.00000897, 175.31, 100
10, 0.00004160, 0.00000189, 4.62, 4
11, 0.06054140, 0.00062715, 208.36, 100
12, 0.06077910, 0.00002705, 334.13, 100
13, 0.24769267, 0.00076212, 1019.49, 100
14, 0.00001163, 0.00000278, 98.30, 100
15, 0.00000544, 0.00000080, 3.99, 4
16, 0.05912167, 0.00006036, 702.87, 100
17, 0.14296300, 0.00084240, 497.04, 100
18, 0.09429153, 0.00176607, 337.37, 100
