BENCH: shufflenet
layer, grid-300 exec, grid-300 std, grid-300 tuning, grid-300 trials
0, 0.00002402, 0.00000074, 112.93, 100
1, 0.00017338, 0.00001083, 105.93, 100
2, 0.00031603, 0.00000209, 100.32, 100
3, 0.00006535, 0.00000069, 186.87, 100
4, 0.00001315, 0.00000084, 111.86, 100
5, 0.00004626, 0.00000048, 103.47, 100
6, 0.00004790, 0.00000157, 118.83, 100
7, 0.00010090, 0.00000061, 100.33, 100
8, 0.00001591, 0.00000200, 99.04, 100
9, 0.00013117, 0.00000189, 101.34, 100
10, 0.00000772, 0.00000063, 109.28, 100
11, 0.00033394, 0.00000483, 100.80, 100
12, 0.00004263, 0.00000081, 109.49, 100
13, 0.00008580, 0.00000019, 101.11, 100
14, 0.00001330, 0.00000024, 114.17, 100
15, 0.00065384, 0.00001432, 102.53, 100
16, 0.00008932, 0.00000264, 100.74, 100
17, 0.00001133, 0.00000037, 106.53, 100
18, 0.00000892, 0.00000052, 82.97, 80
19, 0.00000369, 0.00000042, 98.27, 100
