BENCH: resnet101
layer, grid-300 exec, grid-300 std, grid-300 tuning, grid-300 trials
0, 0.00668708, 0.00001226, 106.96, 100
1, 0.00426764, 0.00001213, 126.99, 100
2, 0.00504954, 0.00003054, 104.56, 100
3, 0.00460109, 0.00000534, 134.94, 100
4, 0.00509670, 0.00002825, 330.25, 100
5, 0.00402586, 0.00002514, 112.75, 100
6, 0.00348048, 0.00002696, 106.10, 100
7, 0.00022866, 0.00001390, 187.17, 100
8, 0.00432730, 0.00001585, 118.01, 100
9, 0.00000469, 0.00000035, 3.87, 4
10, 0.00049779, 0.00000192, 99.85, 100
11, 0.00694518, 0.00001010, 155.67, 100
12, 0.00124154, 0.00002765, 100.51, 100
13, 0.00243738, 0.00004258, 102.96, 100
14, 0.00000927, 0.00000204, 95.24, 100
15, 0.05694550, 0.00242828, 361.22, 100
16, 0.00698327, 0.00005467, 180.22, 100
17, 0.00316856, 0.00002541, 105.95, 100
18, 0.00442839, 0.00001911, 123.80, 100
19, 0.00785923, 0.00003198, 117.26, 100
20, 0.01337137, 0.00014005, 135.52, 100
21, 0.00338965, 0.00000944, 114.03, 100
22, 0.01327840, 0.00009008, 129.19, 100
23, 0.00186746, 0.00001950, 101.61, 100
24, 0.00401483, 0.00007560, 114.82, 100
25, 0.00001793, 0.00000079, 79.31, 80
26, 0.00461585, 0.00001337, 110.49, 100
27, 0.00361302, 0.00000655, 184.73, 100
