BENCH: resnet18
layer, grid-300 exec, grid-300 std, grid-300 tuning, grid-300 trials
0, 0.00041570, 0.00002656, 99.22, 100
1, 0.00390161, 0.00001563, 120.39, 100
2, 0.01416323, 0.00001904, 127.48, 100
3, 0.00003002, 0.00000264, 186.25, 100
4, 0.00000217, 0.00000001, 3.89, 4
5, 0.00773338, 0.00004427, 117.15, 100
6, 0.01199090, 0.00000560, 133.51, 100
7, 0.00673112, 0.00006759, 117.83, 100
8, 0.00043433, 0.00001932, 99.61, 100
9, 0.00025046, 0.00000040, 99.36, 100
10, 0.00000830, 0.00000035, 98.23, 100
11, 0.00352538, 0.00002300, 150.24, 100
12, 0.00754752, 0.00014229, 215.22, 100
13, 0.01758603, 0.00034235, 144.41, 100
14, 0.01302307, 0.00003736, 134.27, 100
15, 0.01376027, 0.00002682, 130.65, 100
16, 0.00001765, 0.00000078, 64.23, 64
17, 0.00473555, 0.00000844, 110.28, 100
18, 0.01755737, 0.00072638, 147.55, 100
