BENCH: resnet152
layer, grid-300 exec, grid-300 std, grid-300 tuning, grid-300 trials
0, 0.00667767, 0.00000937, 107.75, 100
1, 0.00470734, 0.00002451, 125.76, 100
2, 0.00495182, 0.00007886, 104.63, 100
3, 0.00488950, 0.00001944, 114.54, 100
4, 0.00745042, 0.00004526, 113.54, 100
5, 0.00413259, 0.00004895, 113.02, 100
6, 0.00347272, 0.00000971, 106.04, 100
7, 0.00015547, 0.00000861, 187.79, 100
8, 0.00399117, 0.00001679, 114.65, 100
9, 0.00000453, 0.00000029, 3.90, 4
10, 0.00054652, 0.00000577, 99.50, 100
11, 0.00697173, 0.00000677, 126.51, 100
12, 0.00125087, 0.00002308, 100.59, 100
13, 0.00247584, 0.00002442, 103.52, 100
14, 0.00001225, 0.00000135, 99.61, 100
15, 0.02139153, 0.00007939, 233.63, 100
16, 0.00695066, 0.00002554, 147.97, 100
17, 0.00247675, 0.00001088, 106.38, 100
18, 0.00467955, 0.00001227, 121.67, 100
19, 0.00790682, 0.00002363, 216.57, 100
20, 0.01290347, 0.00013106, 129.23, 100
21, 0.00338913, 0.00000949, 108.71, 100
22, 0.01199053, 0.00003602, 129.25, 100
23, 0.00186549, 0.00005312, 101.88, 100
24, 0.00472878, 0.00002362, 111.91, 100
25, 0.00001814, 0.00000073, 64.00, 64
26, 0.00447256, 0.00003226, 109.50, 100
27, 0.00378636, 0.00000967, 111.50, 100
