Fri Dec 29 21:59:46 EST 2023
fj004
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
36, 0.00006776, 17.67, 457.36, 11, 0.00006776, 439.69, 128, 0.00006776, 439.69, 128, 1.00, 1.00, 0.96, 0.96
37, 0.00030837, 65.64, 1096.16, 22, 0.00030991, 1030.52, 300, 0.00030011, 1319.07, 384, 1.00, 0.97, 0.94, 1.20
38, 0.00011577, 86.75, 746.28, 26, 0.00011891, 659.53, 192, 0.00011891, 659.53, 192, 1.03, 1.03, 0.88, 0.88
39, 0.00003372, 3.03, 222.87, 2, 0.00003372, 219.84, 64, 0.00003372, 219.84, 64, 1.00, 1.00, 0.99, 0.99
40, 0.00019145, 98.26, 1128.79, 20, 0.00019408, 1030.52, 300, 0.00018917, 1099.22, 320, 1.01, 0.99, 0.91, 0.97
41, 0.00010312, 64.39, 504.07, 22, 0.00011006, 439.69, 128, 0.00011006, 439.69, 128, 1.07, 1.07, 0.87, 0.87
42, 0.00006980, 56.35, 715.89, 11, 0.00006980, 659.53, 192, 0.00006980, 659.53, 192, 1.00, 1.00, 0.92, 0.92
43, 0.00005185, 39.89, 259.74, 11, 0.00005185, 219.84, 64, 0.00005185, 219.84, 64, 1.00, 1.00, 0.85, 0.85
44, 0.00007192, 166.99, 606.68, 32, 0.00008215, 439.69, 128, 0.00008215, 439.69, 128, 1.14, 1.14, 0.72, 0.72
45, 0.00004121, 25.15, 464.84, 11, 0.00004121, 439.69, 128, 0.00004121, 439.69, 128, 1.00, 1.00, 0.95, 0.95
46, 0.00010519, 31.94, 691.47, 11, 0.00010519, 659.53, 192, 0.00010519, 659.53, 192, 1.00, 1.00, 0.95, 0.95
47, 0.00004422, 15.63, 455.32, 10, 0.00004422, 439.69, 128, 0.00004422, 439.69, 128, 1.00, 1.00, 0.97, 0.97
48, 0.00003471, 2.11, 221.96, 2, 0.00004000, 219.84, 64, 0.00004000, 219.84, 64, 1.15, 1.15, 0.99, 0.99
49, 0.00006710, 16.79, 456.48, 11, 0.00006710, 439.69, 128, 0.00006710, 439.69, 128, 1.00, 1.00, 0.96, 0.96
50, 0.00010383, 21.21, 680.74, 11, 0.00010383, 659.53, 192, 0.00010383, 659.53, 192, 1.00, 1.00, 0.97, 0.97
51, 0.00010600, 105.04, 544.72, 23, 0.00011223, 439.69, 128, 0.00011223, 439.69, 128, 1.06, 1.06, 0.81, 0.81
52, 0.00004500, 53.87, 273.71, 11, 0.00004500, 219.84, 64, 0.00004500, 219.84, 64, 1.00, 1.00, 0.80, 0.80
53, 0.00002825, 2.90, 222.74, 2, 0.00002825, 219.84, 64, 0.00002825, 219.84, 64, 1.00, 1.00, 0.99, 0.99
54, 0.00010032, 93.10, 532.78, 23, 0.00012169, 439.69, 128, 0.00012169, 439.69, 128, 1.21, 1.21, 0.83, 0.83
55, 0.00004986, 1.12, 220.96, 1, 0.00004986, 219.84, 64, 0.00004986, 219.84, 64, 1.00, 1.00, 0.99, 0.99
56, 0.00004960, 15.97, 455.66, 11, 0.00004960, 439.69, 128, 0.00004960, 439.69, 128, 1.00, 1.00, 0.96, 0.96
57, 0.00020759, 37.44, 696.98, 11, 0.00020759, 659.53, 192, 0.00020759, 659.53, 192, 1.00, 1.00, 0.95, 0.95
58, 0.00010611, 45.98, 485.67, 24, 0.00010697, 439.69, 128, 0.00010697, 439.69, 128, 1.01, 1.01, 0.91, 0.91
59, 0.00011864, 145.01, 804.55, 34, 0.00012225, 659.53, 192, 0.00012225, 659.53, 192, 1.03, 1.03, 0.82, 0.82
60, 0.00005599, 81.19, 520.88, 11, 0.00005599, 439.69, 128, 0.00005599, 439.69, 128, 1.00, 1.00, 0.84, 0.84
61, 0.00010445, 40.44, 699.97, 11, 0.00010445, 659.53, 192, 0.00010445, 659.53, 192, 1.00, 1.00, 0.94, 0.94
