Thu Dec 14 08:31:11 EST 2023
fj001
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
22, 0.00005053, 23.07, 181.65, 11, 0.00005053, 158.58, 50, 0.00004219, 1217.86, 384, 1.00, 0.83, 0.87, 6.70
Top 100
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-100 (s), tuning time Ansor-100, task Ansor-100, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-100, speedup 10k, speed tuning time top-100, speed tuning time 10k
0, 0.00005423, 47.27, 364.42, 22, 0.00005556, 317.15, 100, 0.00004720, 1014.88, 320, 1.02, 0.87, 0.87, 2.78
1, 0.00003394, 40.15, 357.30, 11, 0.00003394, 317.15, 100, 0.00002778, 1014.88, 320, 1.00, 0.82, 0.89, 2.84
2, 0.00018147, 5.04, 322.19, 3, 0.00018182, 317.15, 100, 0.00011067, 1623.81, 512, 1.00, 0.61, 0.98, 5.04
3, 0.00004529, 12.60, 329.75, 9, 0.00004529, 317.15, 100, 0.00004356, 608.93, 192, 1.00, 0.96, 0.96, 1.85
4, 0.00002343, 1.66, 318.81, 2, 0.00002343, 317.15, 100, 0.00002343, 374.24, 118, 1.00, 1.00, 0.99, 1.17
5, 0.00002393, 0.77, 317.92, 1, 0.00002393, 317.15, 100, 0.00002393, 361.55, 114, 1.00, 1.00, 1.00, 1.14
6, 0.00004321, 15.75, 332.90, 11, 0.00004321, 317.15, 100, 0.00004095, 608.93, 192, 1.00, 0.95, 0.95, 1.83
7, 0.00004301, 20.41, 337.56, 11, 0.00004301, 317.15, 100, 0.00003531, 1217.86, 384, 1.00, 0.82, 0.94, 3.61
8, 0.00087450, 37.07, 354.22, 21, 0.00093042, 317.15, 100, 0.00035140, 5074.41, 1600, 1.06, 0.40, 0.90, 14.33
9, 0.00028644, 15.93, 333.08, 8, 0.00030581, 317.15, 100, 0.00010323, 3247.62, 1024, 1.07, 0.36, 0.95, 9.75
10, 0.00005931, 15.61, 332.76, 11, 0.00005931, 317.15, 100, 0.00004913, 1014.88, 320, 1.00, 0.83, 0.95, 3.05
11, 0.00025526, 55.74, 372.89, 11, 0.00025526, 317.15, 100, 0.00009203, 2638.70, 832, 1.00, 0.36, 0.85, 7.08
12, 0.00016264, 32.26, 349.41, 11, 0.00016264, 317.15, 100, 0.00007014, 2435.72, 768, 1.00, 0.43, 0.91, 6.97
13, 0.00005737, 21.15, 338.30, 11, 0.00005737, 317.15, 100, 0.00003151, 1217.86, 384, 1.00, 0.55, 0.94, 3.60
14, 0.00025019, 41.18, 358.33, 10, 0.00029577, 317.15, 100, 0.00010564, 3044.65, 960, 1.18, 0.42, 0.89, 8.50
15, 0.00002755, 0.68, 317.83, 1, 0.00002755, 317.15, 100, 0.00002755, 405.95, 128, 1.00, 1.00, 1.00, 1.28
16, 0.00005858, 24.86, 342.01, 11, 0.00005858, 317.15, 100, 0.00005558, 1014.88, 320, 1.00, 0.95, 0.93, 2.97
17, 0.00004372, 12.14, 329.29, 11, 0.00004372, 317.15, 100, 0.00004372, 608.93, 192, 1.00, 1.00, 0.96, 1.85
18, 0.00003094, 1.91, 319.06, 2, 0.00003094, 317.15, 100, 0.00003094, 469.38, 148, 1.00, 1.00, 0.99, 1.47
19, 0.00007099, 111.64, 428.79, 31, 0.00007366, 317.15, 100, 0.00006746, 1014.88, 320, 1.04, 0.95, 0.74, 2.37
20, 0.00006306, 82.51, 399.66, 24, 0.00007319, 317.15, 100, 0.00005915, 1014.88, 320, 1.16, 0.94, 0.79, 2.54
21, 0.00003862, 15.48, 332.63, 11, 0.00003862, 317.15, 100, 0.00003806, 608.93, 192, 1.00, 0.99, 0.95, 1.83
22, 0.00004911, 79.48, 396.63, 25, 0.00005053, 317.15, 100, 0.00004219, 1217.86, 384, 1.03, 0.86, 0.80, 3.07
Top 200
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-200 (s), tuning time Ansor-200, task Ansor-200, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-200, speedup 10k, speed tuning time top-200, speed tuning time 10k
0, 0.00005022, 16.01, 650.31, 11, 0.00005022, 634.30, 200, 0.00004720, 1014.88, 320, 1.00, 0.94, 0.98, 1.56
1, 0.00003394, 39.97, 674.27, 11, 0.00003394, 634.30, 200, 0.00002778, 1014.88, 320, 1.00, 0.82, 0.94, 1.51
2, 0.00017805, 20.30, 654.60, 5, 0.00017805, 634.30, 200, 0.00011067, 1623.81, 512, 1.00, 0.62, 0.97, 2.48
3, 0.00004356, 17.16, 626.09, 11, 0.00004356, 608.93, 192, 0.00004356, 608.93, 192, 1.00, 1.00, 0.97, 0.97
4, 0.00002343, 1.75, 375.99, 2, 0.00002343, 374.24, 118, 0.00002343, 374.24, 118, 1.00, 1.00, 1.00, 1.00
5, 0.00002393, 0.77, 362.32, 1, 0.00002393, 361.55, 114, 0.00002393, 361.55, 114, 1.00, 1.00, 1.00, 1.00
6, 0.00004095, 15.78, 624.71, 11, 0.00004095, 608.93, 192, 0.00004095, 608.93, 192, 1.00, 1.00, 0.97, 0.97
7, 0.00004117, 15.76, 650.06, 11, 0.00004117, 634.30, 200, 0.00003531, 1217.86, 384, 1.00, 0.86, 0.98, 1.87
