Thu Jan  4 20:30:05 EST 2024
fj147
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
0, 0.00038521, 25.48, 29.47, 14, 0.00105244, 3.99,  1, 0.00011792, 510.99, 128, 2.73, 0.31, 0.14, 17.34
1, 0.00041875, 69.23, 73.22, 11, 0.00669656, 3.99,  1, 0.00029285, 510.99, 128, 15.99, 0.70, 0.05, 6.98
2, 0.00010437, 26.56, 30.55, 14, 0.00046193, 3.99,  1, 0.00013497, 255.49, 64, 4.43, 1.29, 0.13, 8.36
3, 0.00046234, 218.37, 222.36, 50, 0.00063938, 3.99,  1, 0.00023387, 510.99, 128, 1.38, 0.51, 0.02, 2.30
4, 0.00011247, 18.31, 22.30, 12, 0.00022903, 3.99,  1, 0.00010134, 255.49, 64, 2.04, 0.90, 0.18, 11.46
5, 0.00019599, 61.36, 65.36, 36, 0.00059799, 3.99,  1, 0.00013583, 255.49, 64, 3.05, 0.69, 0.06, 3.91
6, 0.00030613, 47.96, 51.96, 26, 0.00120054, 3.99,  1, 0.00024119, 255.49, 64, 3.92, 0.79, 0.08, 4.92
7, 0.00134918, 37.75, 41.74, 10, 0.00291899, 3.99,  1, 0.00056052, 510.99, 128, 2.16, 0.42, 0.10, 12.24
8, 0.00002163, 2.92, 6.91, 2, 0.00002163, 3.99,  1, 0.00002121, 255.49, 64, 1.00, 0.98, 0.58, 36.98
9, 0.00016661, 45.10, 49.09, 21, 0.00049315, 3.99,  1, 0.00020612, 255.49, 64, 2.96, 1.24, 0.08, 5.20
10, 0.00049402, 10.29, 14.28, 7, 0.00136591, 3.99,  1, 0.00030464, 510.99, 128, 2.76, 0.62, 0.28, 35.78
11, 0.00050733, 128.55, 132.54, 32, 0.00142588, 3.99,  1, 0.00010553, 255.49, 64, 2.81, 0.21, 0.03, 1.93
12, 0.00047878, 70.79, 74.78, 22, 0.00090751, 3.99,  1, 0.00050306, 510.99, 128, 1.90, 1.05, 0.05, 6.83
13, 0.00015401, 213.40, 217.39, 52, 0.00831258, 3.99,  1, 0.00007046, 2299.44, 576, 53.97, 0.46, 0.02, 10.58
14, 0.00024601, 107.83, 111.82, 16, 0.00076708, 3.99,  1, 0.00021504, 255.49, 64, 3.12, 0.87, 0.04, 2.28
15, 0.00018914, 93.45, 97.45, 22, 0.00030667, 3.99,  1, 0.00030667, 255.49, 64, 1.62, 1.62, 0.04, 2.62
16, 0.00002658, 11.05, 15.04, 6, 0.00004750, 3.99,  1, 0.00004750, 255.49, 64, 1.79, 1.79, 0.27, 16.99
17, 0.00039874, 29.51, 33.50, 11, 0.00018965, 3.99,  1, 0.00010104, 255.49, 64, 0.48, 0.25, 0.12, 7.63
18, 0.00015793, 39.18, 43.17, 17, 0.00412661, 3.99,  1, 0.00039641, 2554.93, 640, 26.13, 2.51, 0.09, 59.18
19, 0.00019293, 78.02, 82.02, 25, 0.00047596, 3.99,  1, 0.00013183, 255.49, 64, 2.47, 0.68, 0.05, 3.12
20, 0.00009822, 147.00, 150.99, 26, 0.00018254, 3.99,  1, 0.00011015, 255.49, 64, 1.86, 1.12, 0.03, 1.69
21, 0.00027537, 254.26, 258.25, 54, 0.00245589, 3.99,  1, 0.00023400, 255.49, 64, 8.92, 0.85, 0.02, 0.99
22, 0.00004767, 3.88, 7.87, 2, 0.00004767, 3.99,  1, 0.00002517, 255.49, 64, 1.00, 0.53, 0.51, 32.47
23, 0.00008388, 201.05, 205.04, 60, 0.00011968, 3.99,  1, 0.00011663, 255.49, 64, 1.43, 1.39, 0.02, 1.25
24, 0.00028813, 203.79, 207.78, 71, 0.00098386, 3.99,  1, 0.00008824, 255.49, 64, 3.41, 0.31, 0.02, 1.23
25, 0.00012383, 204.85, 208.84, 55, 0.00114059, 3.99,  1, 0.00013825, 255.49, 64, 9.21, 1.12, 0.02, 1.22
26, 0.00030848, 60.58, 64.57, 23, 0.00071454, 3.99,  1, 0.00024935, 255.49, 64, 2.32, 0.81, 0.06, 3.96
27, 0.00012550, 80.58, 84.57, 36, 0.00074359, 3.99,  1, 0.00010201, 255.49, 64, 5.92, 0.81, 0.05, 3.02
28, 0.00013106, 79.32, 83.32, 37, 0.00018687, 3.99,  1, 0.00018687, 255.49, 64, 1.43, 1.43, 0.05, 3.07
29, 0.00041403, 158.85, 162.84, 30, 0.00805258, 3.99,  1, 0.00012852, 1532.96, 384, 19.45, 0.31, 0.02, 9.41
30, 0.00043435, 300.05, 304.04, 52, 0.00165629, 3.99,  1, 0.00009569, 255.49, 64, 3.81, 0.22, 0.01, 0.84
31, 0.00060316, 61.71, 65.71, 22, 0.00363379, 3.99,  1, 0.00026800, 255.49, 64, 6.02, 0.44, 0.06, 3.89
32, 0.00014110, 146.49, 150.48, 52, 0.00018197, 3.99,  1, 0.00010241, 255.49, 64, 1.29, 0.73, 0.03, 1.70
33, 0.00055551, 98.34, 102.33, 24, 0.00236479, 3.99,  1, 0.00048486, 766.48, 192, 4.26, 0.87, 0.04, 7.49
34, 0.00019353, 122.62, 126.61, 31, 0.00027365, 3.99,  1, 0.00007188, 255.49, 64, 1.41, 0.37, 0.03, 2.02
35, 0.00007743, 21.57, 25.57, 13, 0.00030260, 3.99,  1, 0.00007574, 255.49, 64, 3.91, 0.98, 0.16, 9.99
36, 0.00029797, 22.46, 26.46, 13, 0.00072219, 3.99,  1, 0.00023947, 255.49, 64, 2.42, 0.80, 0.15, 9.66
37, 0.00005242, 4.32, 8.32, 3, 0.00006324, 3.99,  1, 0.00002078, 255.49, 64, 1.21, 0.40, 0.48, 30.72
38, 0.00011146, 91.05, 95.05, 33, 0.00064361, 3.99,  1, 0.00006825, 255.49, 64, 5.77, 0.61, 0.04, 2.69
39, 0.00012360, 169.61, 173.60, 38, 0.00052935, 3.99,  1, 0.00013029, 255.49, 64, 4.28, 1.05, 0.02, 1.47
40, 0.00051723, 208.66, 212.65, 42, 0.00153640, 3.99,  1, 0.00051745, 510.99, 128, 2.97, 1.00, 0.02, 2.40
41, 0.00008264, 89.94, 93.93, 32, 0.00070644, 3.99,  1, 0.00029970, 255.49, 64, 8.55, 3.63, 0.04, 2.72
42, 0.00012486, 79.37, 83.36, 19, 0.00012486, 3.99,  1, 0.00008066, 255.49, 64, 1.00, 0.65, 0.05, 3.06
43, 0.00004271, 40.62, 44.62, 19, 0.00004271, 3.99,  1, 0.00003456, 255.49, 64, 1.00, 0.81, 0.09, 5.73
44, 0.00014136, 104.33, 108.32, 39, 0.00046806, 3.99,  1, 0.00019871, 255.49, 64, 3.31, 1.41, 0.04, 2.36
45, 0.00014284, 283.69, 287.68, 61, 0.00093134, 3.99,  1, 0.00019307, 510.99, 128, 6.52, 1.35, 0.01, 1.78
46, 0.00011818, 205.81, 209.80, 58, 0.00073309, 3.99,  1, 0.00024799, 255.49, 64, 6.20, 2.10, 0.02, 1.22
47, 0.00049945, 87.34, 91.33, 22, 0.00242697, 3.99,  1, 0.00037433, 510.99, 128, 4.86, 0.75, 0.04, 5.59
48, 0.00015560, 94.12, 98.11, 17, 0.00030599, 3.99,  1, 0.00009418, 255.49, 64, 1.97, 0.61, 0.04, 2.60
49, 0.00047410, 220.38, 224.38, 50, 0.00097943, 3.99,  1, 0.00027807, 510.99, 128, 2.07, 0.59, 0.02, 2.28
50, 0.00023753, 113.77, 117.76, 59, 0.00072682, 3.99,  1, 0.00019039, 255.49, 64, 3.06, 0.80, 0.03, 2.17
51, 0.00037228, 169.70, 173.69, 55, 0.00139150, 3.99,  1, 0.00024818, 510.99, 128, 3.74, 0.67, 0.02, 2.94
