Wed Dec 27 12:54:27 EST 2023
fj002
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-300 (s), tuning time Ansor-300, task Ansor-300, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-300, speedup 10k, speed tuning time top-300, speed tuning time 10k
0, 0.00042947, 46.47, 1306.96, 5, 0.00044485, 1260.49, 192, 0.00044485, 1260.49, 192, 1.04, 1.04, 0.96, 0.96
1, 0.00524018, 211.42, 2180.94, 20, 0.01238103, 1969.52, 300, 0.00560672, 14705.71, 2240, 2.36, 1.07, 0.90, 6.74
2, 0.00009639, 23.05, 443.21, 11, 0.00009639, 420.16, 64, 0.00009639, 420.16, 64, 1.00, 1.00, 0.95, 0.95
3, 0.00002738, 1.89, 133.19, 2, 0.00002774, 131.30, 20, 0.00002774, 131.30, 20, 1.01, 1.01, 0.99, 0.99
4, 0.00236893, 78.24, 2047.76, 11, 0.00236893, 1969.52, 300, 0.00187304, 5041.96, 768, 1.00, 0.79, 0.96, 2.46
5, 0.00222827, 221.58, 2191.09, 19, 0.00458138, 1969.52, 300, 0.00204135, 5462.12, 832, 2.06, 0.92, 0.90, 2.49
6, 0.00038156, 27.45, 1287.94, 13, 0.00038156, 1260.49, 192, 0.00038156, 1260.49, 192, 1.00, 1.00, 0.98, 0.98
7, 0.00005821, 39.92, 460.08, 37, 0.00005974, 420.16, 64, 0.00005974, 420.16, 64, 1.03, 1.03, 0.91, 0.91
8, 0.00109403, 68.10, 2037.62, 9, 0.00109403, 1969.52, 300, 0.00109403, 2941.14, 448, 1.00, 1.00, 0.97, 1.44
9, 0.00112173, 76.08, 2045.60, 13, 0.00112173, 1969.52, 300, 0.00089099, 2941.14, 448, 1.00, 0.79, 0.96, 1.44
10, 0.00888278, 36.24, 2005.76, 11, 0.00888278, 1969.52, 300, 0.00453968, 12184.73, 1856, 1.00, 0.51, 0.98, 6.07
11, 0.00002684, 1.92, 133.22, 2, 0.00002684, 131.30, 20, 0.00002684, 131.30, 20, 1.00, 1.00, 0.99, 0.99
12, 0.00002185, 1.91, 133.21, 2, 0.00002185, 131.30, 20, 0.00002185, 131.30, 20, 1.00, 1.00, 0.99, 0.99
13, 0.00000844, 1.59, 421.75, 2, 0.00000844, 420.16, 64, 0.00000844, 420.16, 64, 1.00, 1.00, 1.00, 1.00
14, 0.00282333, 160.77, 2130.29, 28, 0.00425380, 1969.52, 300, 0.00129464, 7983.10, 1216, 1.51, 0.46, 0.92, 3.75
15, 0.00312233, 134.08, 2103.60, 22, 0.00655228, 1969.52, 300, 0.00246584, 6722.61, 1024, 2.10, 0.79, 0.94, 3.20
16, 0.00120479, 131.41, 2100.93, 11, 0.00120479, 1969.52, 300, 0.00120479, 3361.31, 512, 1.00, 1.00, 0.94, 1.60
17, 0.00003005, 1.90, 133.20, 2, 0.00003005, 131.30, 20, 0.00003005, 131.30, 20, 1.00, 1.00, 0.99, 0.99
18, 0.00002594, 1.60, 132.90, 2, 0.00002594, 131.30, 20, 0.00002594, 131.30, 20, 1.00, 1.00, 0.99, 0.99
Top 1000
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1000 (s), tuning time Ansor-1000, task Ansor-1000, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1000, speedup 10k, speed tuning time top-1000, speed tuning time 10k
0, 0.00042762, 45.87, 1306.36, 5, 0.00044485, 1260.49, 192, 0.00044485, 1260.49, 192, 1.04, 1.04, 0.96, 0.96
1, 0.00524352, 228.02, 6793.07, 20, 0.00560672, 6565.05, 1000, 0.00560672, 14705.71, 2240, 1.07, 1.07, 0.97, 2.16
2, 0.00009639, 22.89, 443.05, 11, 0.00009639, 420.16, 64, 0.00009639, 420.16, 64, 1.00, 1.00, 0.95, 0.95
3, 0.00002751, 1.87, 133.17, 2, 0.00002774, 131.30, 20, 0.00002774, 131.30, 20, 1.01, 1.01, 0.99, 0.99
4, 0.00187304, 85.73, 5127.69, 11, 0.00187304, 5041.96, 768, 0.00187304, 5041.96, 768, 1.00, 1.00, 0.98, 0.98
5, 0.00204135, 59.14, 5521.27, 11, 0.00204135, 5462.12, 832, 0.00204135, 5462.12, 832, 1.00, 1.00, 0.99, 0.99
6, 0.00038156, 28.00, 1288.49, 13, 0.00038156, 1260.49, 192, 0.00038156, 1260.49, 192, 1.00, 1.00, 0.98, 0.98
7, 0.00005826, 42.36, 462.53, 40, 0.00005974, 420.16, 64, 0.00005974, 420.16, 64, 1.03, 1.03, 0.91, 0.91
8, 0.00109403, 68.43, 3009.57, 9, 0.00109403, 2941.14, 448, 0.00109403, 2941.14, 448, 1.00, 1.00, 0.98, 0.98
9, 0.00089099, 76.25, 3017.39, 13, 0.00089099, 2941.14, 448, 0.00089099, 2941.14, 448, 1.00, 1.00, 0.97, 0.97
10, 0.00456887, 91.90, 6656.95, 11, 0.00456887, 6565.05, 1000, 0.00453968, 12184.73, 1856, 1.00, 0.99, 0.99, 1.83
