Fri Dec 29 08:12:26 EST 2023
fj002
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
1, 0.00017537, 26.52, 806.28, 15, 0.00017537, 779.76, 192, 0.00017537, 779.76, 192, 1.00, 1.00, 0.97, 0.97
2, 0.00010289, 180.59, 2000.03, 37, 0.00010431, 1819.45, 448, 0.00010431, 1819.45, 448, 1.01, 1.01, 0.91, 0.91
3, 0.00022610, 58.45, 838.21, 8, 0.00022610, 779.76, 192, 0.00022610, 779.76, 192, 1.00, 1.00, 0.93, 0.93
4, 0.00016472, 44.94, 1344.54, 14, 0.00016472, 1299.61, 320, 0.00016472, 1299.61, 320, 1.00, 1.00, 0.97, 0.97
5, 0.00041630, 62.88, 1882.32, 14, 0.00056432, 1819.45, 448, 0.00056432, 1819.45, 448, 1.36, 1.36, 0.97, 0.97
6, 0.00011931, 53.94, 2133.31, 20, 0.00014928, 2079.37, 512, 0.00014928, 2079.37, 512, 1.25, 1.25, 0.97, 0.97
7, 0.00004923, 28.87, 288.79, 14, 0.00004923, 259.92, 64, 0.00004923, 259.92, 64, 1.00, 1.00, 0.90, 0.90
8, 0.00075932, 52.00, 2911.13, 11, 0.00075932, 2859.13, 704, 0.00075932, 2859.13, 704, 1.00, 1.00, 0.98, 0.98
9, 0.00001873, 1.87, 261.79, 2, 0.00001873, 259.92, 64, 0.00001873, 259.92, 64, 1.00, 1.00, 0.99, 0.99
10, 0.00008651, 25.64, 545.49, 6, 0.00009251, 519.84, 128, 0.00009251, 519.84, 128, 1.07, 1.07, 0.95, 0.95
11, 0.00019039, 29.91, 809.67, 15, 0.00019039, 779.76, 192, 0.00019039, 779.76, 192, 1.00, 1.00, 0.96, 0.96
12, 0.00009832, 59.66, 1359.26, 28, 0.00009896, 1299.61, 320, 0.00009896, 1299.61, 320, 1.01, 1.01, 0.96, 0.96
13, 0.00010156, 226.09, 745.93, 39, 0.00010187, 519.84, 128, 0.00010187, 519.84, 128, 1.00, 1.00, 0.70, 0.70
14, 0.00004680, 12.72, 272.64, 13, 0.00004680, 259.92, 64, 0.00004680, 259.92, 64, 1.00, 1.00, 0.95, 0.95
15, 0.00023236, 81.50, 861.26, 22, 0.00023236, 779.76, 192, 0.00023236, 779.76, 192, 1.00, 1.00, 0.91, 0.91
16, 0.00011101, 92.51, 1392.12, 27, 0.00011101, 1299.61, 320, 0.00011101, 1299.61, 320, 1.00, 1.00, 0.93, 0.93
17, 0.00056525, 70.92, 1890.37, 20, 0.00056525, 1819.45, 448, 0.00056525, 1819.45, 448, 1.00, 1.00, 0.96, 0.96
18, 0.00021319, 271.53, 2350.90, 30, 0.00021414, 2079.37, 512, 0.00021414, 2079.37, 512, 1.00, 1.00, 0.88, 0.88
19, 0.00028978, 145.48, 4206.75, 17, 0.00028978, 4061.27, 1000, 0.00028978, 4158.74, 1024, 1.00, 1.00, 0.97, 0.99
20, 0.00010327, 99.18, 2178.55, 25, 0.00009824, 2079.37, 512, 0.00009824, 2079.37, 512, 0.95, 0.95, 0.95, 0.95
21, 0.00034536, 122.91, 2202.28, 20, 0.00034536, 2079.37, 512, 0.00034536, 2079.37, 512, 1.00, 1.00, 0.94, 0.94
22, 0.00023714, 117.13, 2196.50, 20, 0.00023714, 2079.37, 512, 0.00023714, 2079.37, 512, 1.00, 1.00, 0.95, 0.95
23, 0.00012573, 14.58, 1314.19, 5, 0.00018380, 1299.61, 320, 0.00018380, 1299.61, 320, 1.46, 1.46, 0.99, 0.99
24, 0.00036166, 5.45, 1305.05, 3, 0.00033942, 1299.61, 320, 0.00033942, 1299.61, 320, 0.94, 0.94, 1.00, 1.00
25, 0.00043671, 24.06, 1843.51, 7, 0.00037081, 1819.45, 448, 0.00037081, 1819.45, 448, 0.85, 0.85, 0.99, 0.99
26, 0.00002633, 2.87, 262.79, 2, 0.00002633, 259.92, 64, 0.00002633, 259.92, 64, 1.00, 1.00, 0.99, 0.99
27, 0.00012851, 55.72, 1875.17, 12, 0.00012552, 1819.45, 448, 0.00012552, 1819.45, 448, 0.98, 0.98, 0.97, 0.97
Fri Dec 29 23:47:31 EST 2023

Completed

