Wed Dec 27 12:57:50 EST 2023
fj004
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
0, 0.00232702, 30.14, 35.95, 5, 0.00442173, 5.81,  1, 0.00026129, 743.31, 128, 1.90, 0.11, 0.16, 20.68
1, 0.05029537, 613.63, 619.43, 47, 0.20122567, 5.81,  1, 0.00286640, 9663.03, 1664, 4.00, 0.06, 0.01, 15.60
2, 0.00009529, 48.91, 54.71, 16, 0.00009529, 5.81,  1, 0.00009058, 371.66, 64, 1.00, 0.95, 0.11, 6.79
3, 0.00003280, 1.91, 7.72, 2, 0.00003280, 5.81,  1, 0.00002511, 116.14, 20, 1.00, 0.77, 0.75, 15.05
4, 0.02090183, 223.72, 229.53, 35, 0.02661463, 5.81,  1, 0.00228458, 2601.59, 448, 1.27, 0.11, 0.03, 11.33
5, 0.00003456, 3.03, 8.83, 2, 0.00004801, 5.81,  1, 0.00002610, 116.14, 20, 1.39, 0.76, 0.66, 13.15
6, 0.00078299, 471.70, 477.50, 53, 0.46617200, 5.81,  1, 0.00176643, 3716.55, 640, 595.38, 2.26, 0.01, 7.78
7, 0.00009549, 80.56, 86.37, 17, 0.00053856, 5.81,  1, 0.00043683, 743.31, 128, 5.64, 4.57, 0.07, 8.61
8, 0.00005188, 22.48, 28.29, 2, 0.00009144, 5.81,  1, 0.00002610, 116.14, 20, 1.76, 0.50, 0.21, 4.11
9, 0.00365861, 228.30, 234.11, 35, 0.03108063, 5.81,  1, 0.00151550, 2229.93, 384, 8.50, 0.41, 0.02, 9.53
