Thu Dec 14 21:44:51 EST 2023
fj006
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
0, 0.00070035, 72.19, 77.03, 14, 0.00208071, 4.84,  1, 0.00006478, 929.39, 192, 2.97, 0.09, 0.06, 12.07
1, 0.00276815, 103.80, 108.64, 15, 0.00716155, 4.84,  1, 0.00041772, 3097.97, 640, 2.59, 0.15, 0.04, 28.52
2, 0.00020980, 341.68, 346.52, 43, 0.04007060, 4.84,  1, 0.00023404, 3717.57, 768, 191.00, 1.12, 0.01, 10.73
3, 0.00034963, 134.36, 139.20, 42, 0.00020402, 4.84,  1, 0.00002292, 309.80, 64, 0.58, 0.07, 0.03, 2.23
4, 0.00002398, 2.22, 7.06, 2, 0.00002398, 4.84,  1, 0.00000493, 309.80, 64, 1.00, 0.21, 0.69, 43.91
5, 0.00201718, 299.08, 303.92, 39, 0.08245217, 4.84,  1, 0.00020916, 3717.57, 768, 40.88, 0.10, 0.02, 12.23
6, 0.00004859, 414.53, 419.37, 50, 0.00845658, 4.84,  1, 0.00031521, 3407.77, 704, 174.04, 6.49, 0.01, 8.13
7, 0.00098719, 130.88, 135.72, 34, 0.00388777, 4.84,  1, 0.00019913, 2168.58, 448, 3.94, 0.20, 0.04, 15.98
8, 0.00010502, 131.58, 136.42, 46, 0.02095690, 4.84,  1, 0.00008291, 619.59, 128, 199.56, 0.79, 0.04, 4.54
9, 0.00005046, 68.35, 73.19, 39, 0.00007981, 4.84,  1, 0.00005907, 619.59, 128, 1.58, 1.17, 0.07, 8.47
10, 0.00007204, 15.78, 20.62, 15, 0.00011696, 4.84,  1, 0.00004132, 619.59, 128, 1.62, 0.57, 0.23, 30.05
