Thu Dec 14 21:52:20 EST 2023
fj016
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
0, 0.00086392, 82.67, 973.02, 15, 0.00131805, 890.35, 200, 0.00034878, 11396.53, 2560, 1.53, 0.40, 0.92, 11.71
1, 0.00087020, 188.32, 1078.68, 34, 0.00148474, 890.35, 200, 0.00075400, 6553.01, 1472, 1.71, 0.87, 0.83, 6.08
2, 0.00002329, 13.78, 102.81, 2, 0.00002338, 89.04, 20, 0.00002338, 89.04, 20, 1.00, 1.00, 0.87, 0.87
3, 0.00007576, 22.42, 877.16, 11, 0.00007576, 854.74, 192, 0.00007576, 854.74, 192, 1.00, 1.00, 0.97, 0.97
4, 0.00002573, 1.92, 90.96, 2, 0.00002573, 89.04, 20, 0.00002573, 89.04, 20, 1.00, 1.00, 0.98, 0.98
5, 0.00117833, 153.88, 1044.24, 21, 0.00184012, 890.35, 200, 0.00039790, 5413.35, 1216, 1.56, 0.34, 0.85, 5.18
6, 0.00005116, 19.34, 589.16, 15, 0.00005116, 569.83, 128, 0.00005116, 569.83, 128, 1.00, 1.00, 0.97, 0.97
7, 0.00054447, 49.77, 940.13, 14, 0.00054447, 890.35, 200, 0.00046674, 3988.79, 896, 1.00, 0.86, 0.95, 4.24
8, 0.00009699, 138.07, 1028.42, 50, 0.00292727, 890.35, 200, 0.00051408, 8547.40, 1920, 30.18, 5.30, 0.87, 8.31
9, 0.00000312, 0.66, 285.57, 1, 0.00000312, 284.91, 64, 0.00000312, 284.91, 64, 1.00, 1.00, 1.00, 1.00
10, 0.00002752, 1.56, 90.60, 2, 0.00002752, 89.04, 20, 0.00002752, 89.04, 20, 1.00, 1.00, 0.98, 0.98
