Sat Dec 30 19:55:13 EST 2023
fj003
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1000
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1000 (s), tuning time Ansor-1000, task Ansor-1000, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1000, speedup 10k, speed tuning time top-1000, speed tuning time 10k
39, 0.00003372, 2.65, 222.49, 2, 0.00003372, 219.84, 64, 0.00003372, 219.84, 64, 1.00, 1.00, 0.99, 0.99
40, 0.00018917, 47.40, 1146.63, 11, 0.00018917, 1099.22, 320, 0.00018917, 1099.22, 320, 1.00, 1.00, 0.96, 0.96
41, 0.00010413, 65.16, 504.84, 21, 0.00011006, 439.69, 128, 0.00011006, 439.69, 128, 1.06, 1.06, 0.87, 0.87
42, 0.00006980, 56.09, 715.63, 11, 0.00006980, 659.53, 192, 0.00006980, 659.53, 192, 1.00, 1.00, 0.92, 0.92
43, 0.00005185, 39.49, 259.33, 11, 0.00005185, 219.84, 64, 0.00005185, 219.84, 64, 1.00, 1.00, 0.85, 0.85
44, 0.00007302, 212.14, 651.83, 39, 0.00008215, 439.69, 128, 0.00008215, 439.69, 128, 1.13, 1.13, 0.67, 0.67
45, 0.00004121, 24.92, 464.61, 11, 0.00004121, 439.69, 128, 0.00004121, 439.69, 128, 1.00, 1.00, 0.95, 0.95
46, 0.00010519, 32.13, 691.66, 11, 0.00010519, 659.53, 192, 0.00010519, 659.53, 192, 1.00, 1.00, 0.95, 0.95
47, 0.00004422, 15.57, 455.26, 10, 0.00004422, 439.69, 128, 0.00004422, 439.69, 128, 1.00, 1.00, 0.97, 0.97
48, 0.00003568, 2.08, 221.92, 2, 0.00004000, 219.84, 64, 0.00004000, 219.84, 64, 1.12, 1.12, 0.99, 0.99
49, 0.00006710, 16.59, 456.28, 11, 0.00006710, 439.69, 128, 0.00006710, 439.69, 128, 1.00, 1.00, 0.96, 0.96
50, 0.00010383, 21.66, 681.20, 11, 0.00010383, 659.53, 192, 0.00010383, 659.53, 192, 1.00, 1.00, 0.97, 0.97
51, 0.00009917, 214.51, 654.20, 43, 0.00011223, 439.69, 128, 0.00011223, 439.69, 128, 1.13, 1.13, 0.67, 0.67
52, 0.00004500, 54.64, 274.48, 11, 0.00004500, 219.84, 64, 0.00004500, 219.84, 64, 1.00, 1.00, 0.80, 0.80
53, 0.00002825, 2.50, 222.35, 2, 0.00002825, 219.84, 64, 0.00002825, 219.84, 64, 1.00, 1.00, 0.99, 0.99
54, 0.00010087, 90.00, 529.69, 22, 0.00012169, 439.69, 128, 0.00012169, 439.69, 128, 1.21, 1.21, 0.83, 0.83
55, 0.00004986, 1.12, 220.96, 1, 0.00004986, 219.84, 64, 0.00004986, 219.84, 64, 1.00, 1.00, 0.99, 0.99
56, 0.00004960, 15.76, 455.45, 11, 0.00004960, 439.69, 128, 0.00004960, 439.69, 128, 1.00, 1.00, 0.97, 0.97
57, 0.00020759, 36.93, 696.46, 11, 0.00020759, 659.53, 192, 0.00020759, 659.53, 192, 1.00, 1.00, 0.95, 0.95
58, 0.00010697, 21.80, 461.49, 11, 0.00010697, 439.69, 128, 0.00010697, 439.69, 128, 1.00, 1.00, 0.95, 0.95
59, 0.00011910, 90.58, 750.11, 21, 0.00012225, 659.53, 192, 0.00012225, 659.53, 192, 1.03, 1.03, 0.88, 0.88
60, 0.00005599, 81.91, 521.60, 11, 0.00005599, 439.69, 128, 0.00005599, 439.69, 128, 1.00, 1.00, 0.84, 0.84
61, 0.00010445, 40.67, 700.20, 11, 0.00010445, 659.53, 192, 0.00010445, 659.53, 192, 1.00, 1.00, 0.94, 0.94
Sat Dec 30 22:06:57 EST 2023

Completed

