BENCH: squeezenet
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, grid-300 exec, grid-300 tuning, grid-300 trials, exec speedup, tuning speedup
0, 0.00004937, 16.80, 18, 0.00012712, 98.31, 100, 0.39, 0.17
1, 0.00001940, 39.46, 34, 0.00006084, 99.26, 100, 0.32, 0.40
2, 0.00018364, 11.59, 12, 0.00047522, 105.64, 100, 0.39, 0.11
3, 0.00002601, 50.40, 49, 0.00009804, 98.52, 100, 0.27, 0.51
4, 0.00000663, 4.88, 6, 0.00000606, 62.42, 64, 1.09, 0.08
5, 0.00005124, 29.95, 30, 0.00012557, 99.09, 100, 0.41, 0.30
6, 0.00000650, 1.05, 2, 0.00000568, 4.21, 4, 1.14, 0.25
7, 0.00005243, 55.36, 29, 0.00008994, 99.45, 100, 0.58, 0.56
8, 0.00083639, 18.62, 19, 0.00638590, 115.79, 100, 0.13, 0.16
9, 0.00025670, 71.70, 58, 0.00094807, 108.20, 100, 0.27, 0.66
10, 0.00005644, 28.02, 29, 0.00011027, 100.05, 100, 0.51, 0.28
11, 0.00005840, 54.89, 43, 0.00015522, 98.85, 100, 0.38, 0.56
12, 0.00018390, 34.17, 28, 0.00043296, 106.32, 100, 0.42, 0.32
13, 0.00000607, 40.38, 42, 0.00000941, 96.45, 100, 0.65, 0.42
14, 0.00022863, 21.76, 20, 0.00077273, 114.33, 100, 0.30, 0.19
15, 0.00001096, 8.83, 10, 0.00000967, 63.08, 64, 1.13, 0.14
16, 0.00008750, 68.12, 43, 0.00023429, 99.10, 100, 0.37, 0.69
17, 0.00034226, 54.08, 42, 0.00091341, 106.54, 100, 0.37, 0.51
18, 0.00001818, 8.93, 10, 0.00002841, 63.37, 64, 0.64, 0.14
19, 0.00008446, 29.75, 30, 0.00026233, 98.66, 100, 0.32, 0.30
20, 0.00008030, 68.74, 43, 0.00022983, 99.87, 100, 0.35, 0.69
21, 0.00002967, 36.16, 35, 0.00009080, 99.51, 100, 0.33, 0.36
22, 0.00002552, 64.83, 55, 0.00011475, 102.19, 100, 0.22, 0.63
