BENCH: alexnet
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, grid-300 exec, grid-300 tuning, grid-300 trials, exec speedup, tuning speedup
0, 0.00066641, 50.38, 23, 0.00344038, 113.17, 100, 0.19, 0.45
1, 0.00000335, 5.83, 7, 0.00000427, 62.59, 64, 0.78, 0.09
2, 0.00184977, 57.15, 38, 0.00810897, 127.85, 100, 0.23, 0.45
3, 0.00007437, 82.65, 37, 0.00045060, 200.61, 100, 0.17, 0.41
4, 0.00001100, 26.65, 28, 0.00001275, 97.66, 100, 0.86, 0.27
5, 0.00089695, 49.29, 44, 0.00417463, 120.05, 100, 0.21, 0.41
6, 0.00000589, 5.77, 7, 0.00000584, 61.63, 64, 1.01, 0.09
7, 0.00420463, 86.68, 45, 0.02340193, 240.18, 100, 0.18, 0.36
8, 0.00133542, 52.86, 44, 0.00572179, 121.97, 100, 0.23, 0.43
9, 0.00000091, 0.96, 2, 0.00000090, 3.81, 4, 1.00, 0.25
10, 0.00000994, 9.80, 10, 0.00003284, 69.58, 64, 0.30, 0.14
11, 0.00092813, 47.89, 44, 0.00400642, 121.48, 100, 0.23, 0.39
12, 0.00164917, 79.44, 34, 0.01005657, 196.06, 100, 0.16, 0.41
