BENCH: densenet169
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, grid-300 exec, grid-300 tuning, grid-300 trials, exec speedup, tuning speedup
66, 0.00000770, 0.96, 2, 0.00000839, 3.84, 4, 0.92, 0.25
67, 0.00011891, 67.99, 64, 0.00036949, 100.30, 100, 0.32, 0.68
68, 0.00009356, 72.66, 64, 0.00033016, 100.39, 100, 0.28, 0.72
69, 0.00113352, 59.00, 45, 0.00469902, 117.92, 100, 0.24, 0.50
70, 0.00017366, 17.23, 18, 0.00042866, 99.19, 100, 0.41, 0.17
71, 0.00025963, 62.25, 51, 0.00075962, 101.05, 100, 0.34, 0.62
72, 0.00011519, 49.77, 43, 0.00018071, 100.10, 100, 0.64, 0.50
73, 0.00018051, 46.68, 43, 0.00033886, 100.76, 100, 0.53, 0.46
74, 0.00012542, 29.10, 30, 0.00027702, 98.94, 100, 0.45, 0.29
75, 0.00026500, 56.48, 43, 0.00078973, 102.01, 100, 0.34, 0.55
76, 0.00005623, 51.47, 48, 0.00016852, 100.12, 100, 0.33, 0.51
77, 0.00018698, 17.57, 18, 0.00029938, 99.11, 100, 0.62, 0.18
78, 0.00023346, 51.70, 43, 0.00049073, 100.96, 100, 0.48, 0.51
79, 0.00033541, 107.57, 43, 0.00069477, 101.02, 100, 0.48, 1.06
80, 0.00100073, 27.71, 27, 0.00485919, 113.37, 100, 0.21, 0.24
81, 0.00006862, 67.11, 53, 0.00015287, 99.91, 100, 0.45, 0.67
82, 0.00012530, 56.83, 43, 0.00043566, 101.24, 100, 0.29, 0.56
83, 0.00046385, 83.94, 38, 0.00148972, 102.23, 100, 0.31, 0.82
84, 0.00001823, 25.83, 27, 0.00002207, 64.44, 64, 0.83, 0.40
85, 0.00034361, 66.48, 43, 0.00104617, 103.02, 100, 0.33, 0.65
86, 0.00004808, 51.67, 51, 0.00014082, 99.90, 100, 0.34, 0.52
87, 0.00057254, 59.46, 38, 0.00200828, 103.62, 100, 0.29, 0.57
88, 0.00037824, 58.73, 45, 0.00128630, 102.45, 100, 0.29, 0.57
89, 0.00021915, 141.07, 56, 0.00051253, 103.38, 100, 0.43, 1.36
90, 0.00042466, 57.83, 43, 0.00105683, 101.51, 100, 0.40, 0.57
91, 0.00007865, 57.22, 53, 0.00023351, 102.52, 100, 0.34, 0.56
92, 0.00028368, 67.88, 45, 0.00109037, 101.63, 100, 0.26, 0.67
93, 0.00021249, 62.13, 39, 0.00063714, 99.73, 100, 0.33, 0.62
94, 0.00015592, 77.89, 57, 0.00054894, 101.21, 100, 0.28, 0.77
95, 0.00002426, 60.21, 53, 0.00006893, 102.63, 100, 0.35, 0.59
96, 0.00009297, 48.55, 45, 0.00021474, 102.44, 100, 0.43, 0.47
