BENCH: vgg16
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, grid-300 exec, grid-300 tuning, grid-300 trials, exec speedup, tuning speedup
0, 0.00000743, 1.04, 2, 0.00000735, 4.18, 4, 1.01, 0.25
1, 0.00074562, 26.35, 21, 0.00209061, 116.66, 100, 0.36, 0.23
2, 0.00000176, 0.98, 2, 0.00000175, 3.90, 4, 1.01, 0.25
3, 0.01449447, 225.61, 39, 0.67863833, 2063.40, 100, 0.02, 0.11
4, 0.00009425, 92.93, 55, 0.00185215, 202.83, 100, 0.05, 0.46
5, 0.00001327, 1.22, 2, 0.00002622, 4.89, 4, 0.51, 0.25
6, 0.01413493, 103.35, 44, 0.11433767, 312.19, 100, 0.12, 0.33
7, 0.00005277, 1.20, 2, 0.00023714, 4.83, 4, 0.22, 0.25
8, 0.00718800, 136.92, 39, 1.10640000, 2083.82, 100, 0.01, 0.07
9, 0.00162259, 120.05, 56, 0.00994398, 201.13, 100, 0.16, 0.60
10, 0.00002606, 0.99, 2, 0.00007534, 6.80, 4, 0.35, 0.15
11, 0.00650693, 63.66, 44, 0.08138263, 264.87, 100, 0.08, 0.24
12, 0.01143690, 142.98, 33, 0.06342613, 360.32, 100, 0.18, 0.40
13, 0.01505230, 69.38, 36, 9999.00000000, 2104.96, 100, 0.00, 0.03
14, 0.00000911, 79.04, 79, 0.00000778, 98.85, 100, 1.17, 0.80
15, 0.00000486, 1.01, 2, 0.00000541, 4.00, 4, 0.90, 0.25
16, 0.00363694, 60.61, 35, 0.58471067, 1944.78, 100, 0.01, 0.03
17, 0.01343600, 105.06, 44, 0.21393633, 677.54, 100, 0.06, 0.16
18, 0.00721724, 158.89, 39, 0.30432267, 541.86, 100, 0.02, 0.29
