BENCH: resnet50
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, grid-300 exec, grid-300 tuning, grid-300 trials, exec speedup, tuning speedup
0, 0.00079337, 91.08, 63, 0.00942582, 111.01, 100, 0.08, 0.82
1, 0.00088676, 55.75, 45, 0.00751495, 139.06, 100, 0.12, 0.40
2, 0.00048760, 90.66, 45, 0.00558804, 107.18, 100, 0.09, 0.85
3, 0.00089413, 36.33, 21, 0.00459403, 135.45, 100, 0.19, 0.27
4, 0.00043512, 65.32, 55, 0.00775463, 133.62, 100, 0.06, 0.49
5, 0.00100146, 50.13, 36, 0.00407463, 116.19, 100, 0.25, 0.43
6, 0.00045096, 40.71, 39, 0.00359756, 106.92, 100, 0.13, 0.38
7, 0.00005266, 72.36, 37, 0.00033933, 200.55, 100, 0.16, 0.36
8, 0.00100213, 49.25, 36, 0.00470374, 119.46, 100, 0.21, 0.41
9, 0.00000510, 0.96, 2, 0.00000488, 3.85, 4, 1.04, 0.25
10, 0.00013357, 47.40, 41, 0.00055030, 97.47, 100, 0.24, 0.49
11, 0.00083640, 70.78, 45, 0.01804133, 193.82, 100, 0.05, 0.37
12, 0.00045523, 70.82, 56, 0.00124611, 100.38, 100, 0.37, 0.71
13, 0.00049322, 60.61, 44, 0.00371079, 104.51, 100, 0.13, 0.58
14, 0.00000879, 66.21, 68, 0.00000862, 96.48, 100, 1.02, 0.69
15, 0.00095677, 42.19, 34, 0.20962167, 494.45, 100, 0.00, 0.09
16, 0.00075456, 73.58, 46, 0.01384640, 271.22, 100, 0.05, 0.27
17, 0.00047269, 50.32, 44, 0.00377936, 107.25, 100, 0.13, 0.47
18, 0.00104542, 42.79, 36, 0.00545421, 128.03, 100, 0.19, 0.33
19, 0.00093217, 57.29, 39, 0.00774378, 122.57, 100, 0.12, 0.47
20, 0.00102004, 90.76, 36, 0.01919037, 140.67, 100, 0.05, 0.65
21, 0.00046033, 64.46, 45, 0.00576549, 112.25, 100, 0.08, 0.57
22, 0.00096041, 60.79, 34, 0.01695470, 134.89, 100, 0.06, 0.45
23, 0.00048593, 64.33, 55, 0.00179882, 101.16, 100, 0.27, 0.64
24, 0.00085889, 48.57, 45, 0.00471942, 118.24, 100, 0.18, 0.41
25, 0.00002258, 0.99, 2, 0.00002305, 3.91, 4, 0.98, 0.25
26, 0.00077955, 45.07, 43, 0.00449276, 114.66, 100, 0.17, 0.39
27, 0.00041340, 70.87, 50, 0.00720216, 149.76, 100, 0.06, 0.47
