BENCH: resnet101
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, grid-300 exec, grid-300 tuning, grid-300 trials, exec speedup, tuning speedup
0, 0.00097709, 64.67, 38, 0.00922912, 110.59, 100, 0.11, 0.58
1, 0.00110434, 111.40, 45, 0.00662972, 144.01, 100, 0.17, 0.77
2, 0.00040854, 63.13, 45, 0.00569388, 105.91, 100, 0.07, 0.60
3, 0.00096418, 29.43, 22, 0.00459380, 135.03, 100, 0.21, 0.22
4, 0.00050913, 77.55, 55, 0.02590470, 442.20, 100, 0.02, 0.18
5, 0.00112288, 52.74, 36, 0.00402324, 116.02, 100, 0.28, 0.45
6, 0.00049584, 107.46, 47, 0.00356430, 107.17, 100, 0.14, 1.00
7, 0.00004785, 136.52, 62, 0.00031509, 204.79, 100, 0.15, 0.67
8, 0.00117258, 61.65, 44, 0.00446453, 122.54, 100, 0.26, 0.50
9, 0.00000454, 0.96, 2, 0.00000457, 3.84, 4, 0.99, 0.25
10, 0.00014526, 94.81, 63, 0.00049998, 98.06, 100, 0.29, 0.97
11, 0.00087942, 52.00, 45, 0.01544973, 177.78, 100, 0.06, 0.29
12, 0.00047706, 63.36, 45, 0.00126711, 100.40, 100, 0.38, 0.63
13, 0.00057244, 84.23, 47, 0.00368028, 104.70, 100, 0.16, 0.80
14, 0.00000734, 10.62, 12, 0.00000738, 94.31, 100, 0.99, 0.11
15, 0.00098663, 399.81, 39, 0.16398067, 499.23, 100, 0.01, 0.80
16, 0.00093912, 58.10, 47, 0.01411307, 272.27, 100, 0.07, 0.21
17, 0.00049717, 52.58, 44, 0.00364283, 107.35, 100, 0.14, 0.49
18, 0.00111425, 51.49, 44, 0.00442076, 133.18, 100, 0.25, 0.39
19, 0.00118624, 249.72, 39, 0.00833681, 122.37, 100, 0.14, 2.04
20, 0.00108939, 216.52, 36, 0.02155760, 146.32, 100, 0.05, 1.48
21, 0.00052420, 213.95, 56, 0.00566348, 110.76, 100, 0.09, 1.93
22, 0.00101443, 64.30, 53, 0.01724090, 140.60, 100, 0.06, 0.46
23, 0.00042890, 60.01, 56, 0.00183243, 101.58, 100, 0.23, 0.59
24, 0.00111982, 46.79, 43, 0.00406288, 122.97, 100, 0.28, 0.38
25, 0.00001789, 16.70, 18, 0.00001766, 63.20, 64, 1.01, 0.26
26, 0.00102711, 48.89, 43, 0.00551556, 114.83, 100, 0.19, 0.43
27, 0.00041946, 52.86, 52, 0.00977782, 169.92, 100, 0.04, 0.31
