BENCH: googlenet
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, grid-300 exec, grid-300 tuning, grid-300 trials, exec speedup, tuning speedup
0, 0.00032883, 34.68, 28, 0.00085374, 112.58, 100, 0.39, 0.31
1, 0.00002542, 57.50, 43, 0.00007051, 98.92, 100, 0.36, 0.58
2, 0.00001887, 10.17, 10, 0.00003172, 68.71, 64, 0.60, 0.15
3, 0.00113643, 24.33, 21, 0.00418590, 142.79, 100, 0.27, 0.17
4, 0.00158166, 44.47, 36, 0.00648716, 118.07, 100, 0.24, 0.38
5, 0.00022823, 16.93, 18, 0.00064646, 102.41, 100, 0.35, 0.17
6, 0.00011949, 64.02, 43, 0.00025123, 102.41, 100, 0.48, 0.63
7, 0.00080048, 40.84, 36, 0.00285653, 111.23, 100, 0.28, 0.37
8, 0.00017474, 54.35, 43, 0.00072990, 101.84, 100, 0.24, 0.53
9, 0.00008595, 53.24, 43, 0.00018240, 100.00, 100, 0.47, 0.53
10, 0.00002347, 92.89, 55, 0.00009096, 198.30, 100, 0.26, 0.47
11, 0.00001568, 10.84, 11, 0.00004393, 71.18, 64, 0.36, 0.15
12, 0.00006774, 16.20, 16, 0.00008791, 105.84, 100, 0.77, 0.15
13, 0.00002104, 52.00, 50, 0.00004948, 98.30, 100, 0.43, 0.53
14, 0.00000305, 0.98, 2, 0.00000381, 3.91, 4, 0.80, 0.25
15, 0.00000769, 5.24, 6, 0.00001447, 69.02, 64, 0.53, 0.08
16, 0.00035958, 41.05, 37, 0.00157612, 111.14, 100, 0.23, 0.37
17, 0.00011655, 52.19, 49, 0.00055207, 98.90, 100, 0.21, 0.53
18, 0.00024762, 76.14, 43, 0.00084121, 103.58, 100, 0.29, 0.74
19, 0.00016241, 44.66, 45, 0.00035594, 106.20, 100, 0.46, 0.42
20, 0.00002493, 13.94, 14, 0.00007605, 81.27, 64, 0.33, 0.17
21, 0.00005077, 44.23, 43, 0.00009844, 98.59, 100, 0.52, 0.45
22, 0.00005667, 72.49, 61, 0.00018838, 99.15, 100, 0.30, 0.73
23, 0.00011021, 50.48, 37, 0.00025871, 106.19, 100, 0.43, 0.48
24, 0.00003677, 44.76, 43, 0.00007190, 98.02, 100, 0.51, 0.46
25, 0.00082326, 50.46, 44, 0.00318676, 116.44, 100, 0.26, 0.43
26, 0.00002217, 17.20, 17, 0.00004982, 72.96, 64, 0.44, 0.24
27, 0.00000723, 53.28, 52, 0.00000867, 98.71, 100, 0.83, 0.54
28, 0.00008511, 50.71, 48, 0.00027128, 100.12, 100, 0.31, 0.51
29, 0.00021942, 56.10, 48, 0.00085281, 102.52, 100, 0.26, 0.55
30, 0.00279988, 50.57, 36, 0.01153257, 125.15, 100, 0.24, 0.40
31, 0.00000453, 1.02, 2, 0.00000562, 4.10, 4, 0.81, 0.25
32, 0.00006578, 68.55, 43, 0.00019525, 98.62, 100, 0.34, 0.70
33, 0.00022936, 75.68, 43, 0.00066363, 100.38, 100, 0.35, 0.75
34, 0.00004137, 49.54, 43, 0.00009511, 107.77, 100, 0.44, 0.46
35, 0.00004276, 33.23, 27, 0.00008647, 114.29, 100, 0.49, 0.29
36, 0.00006848, 50.71, 45, 0.00024052, 98.59, 100, 0.28, 0.51
37, 0.00066618, 46.28, 37, 0.00262763, 115.59, 100, 0.25, 0.40
38, 0.00025641, 73.57, 65, 0.00117977, 110.48, 100, 0.22, 0.67
39, 0.00001244, 7.95, 9, 0.00001429, 63.73, 64, 0.87, 0.12
40, 0.00021451, 44.59, 45, 0.00053004, 102.38, 100, 0.40, 0.44
41, 0.00055750, 54.07, 44, 0.00224815, 111.70, 100, 0.25, 0.48
42, 0.00002059, 54.91, 42, 0.00006770, 106.74, 100, 0.30, 0.51
43, 0.00008861, 70.11, 56, 0.00029052, 100.06, 100, 0.31, 0.70
44, 0.00006485, 53.74, 49, 0.00032129, 100.23, 100, 0.20, 0.54
45, 0.00002695, 66.48, 53, 0.00011646, 98.66, 100, 0.23, 0.67
46, 0.00027165, 64.56, 58, 0.00086550, 112.43, 100, 0.31, 0.57
47, 0.00015192, 41.87, 43, 0.00044888, 101.01, 100, 0.34, 0.41
48, 0.00001729, 19.93, 10, 0.00007483, 95.90, 64, 0.23, 0.21
49, 0.00008901, 42.82, 43, 0.00021678, 107.17, 100, 0.41, 0.40
50, 0.00005952, 74.85, 53, 0.00014753, 99.91, 100, 0.40, 0.75
51, 0.00016647, 48.58, 43, 0.00040081, 100.44, 100, 0.42, 0.48
52, 0.00003104, 17.43, 17, 0.00006412, 79.26, 64, 0.48, 0.22
53, 0.00007509, 23.13, 24, 0.00006127, 69.55, 64, 1.23, 0.33
54, 0.00002472, 29.22, 20, 0.00003849, 113.23, 100, 0.64, 0.26
55, 0.00020033, 43.58, 43, 0.00054969, 100.65, 100, 0.36, 0.43
56, 0.00004814, 22.50, 22, 0.00011506, 98.44, 100, 0.42, 0.23
57, 0.00032370, 38.74, 36, 0.00137965, 118.00, 100, 0.23, 0.33
58, 0.00015273, 52.57, 45, 0.00050252, 101.23, 100, 0.30, 0.52
59, 0.00005569, 37.97, 33, 0.00012496, 116.02, 100, 0.45, 0.33
60, 0.00035995, 45.93, 43, 0.00149015, 103.93, 100, 0.24, 0.44
61, 0.00016811, 65.13, 60, 0.00054952, 100.91, 100, 0.31, 0.65
